fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
tubau01,"T. Hara, RIKEN/SPring-8, Hyogo; B. Carré, CEA, Gif-sur-Yvette; M.-E. Couprie, SOLEIL, Gif-sur-Yvette; D. Garzella, CEA, Gif-sur-Yvette; T. Ishikawa, H. Kitamura, RIKEN/SPring-8, Hyogo; M. Labat, SOLEIL, Gif-sur-Yvette; G. Lambert, LOA, Palaiseau; T. Ohshima, T. Shintake, RIKEN/SPring-8, Hyogo; K. Tahara, RIKEN Spring-8 Harima, Hyogo; T. Tanaka, RIKEN/SPring-8, Hyogo; Y. T. Tanaka, RIKEN Spring-8 Harima, Hyogo; T. Tanikawa, Sokendai, Okazaki, Aichi; M. Yabashi, RIKEN/SPring-8, Hyogo","VUV Seeded FEL Experiment at the SCSS Test Accelerator",207 212,
tubau03,"E. Plönjes, DESY, Hamburg; G. Dovillaire, Imagine Optic, Orsay; B. Floeter, LLG, Goettingen; P. N. Juranic, B. Keitel, M. Kuhlmann, DESY, Hamburg; K. Mann, B. Schaefer, LLG, Goettingen; K. I. Tiedtke, DESY, Hamburg","FEL Wave-front Measurements in the Soft X-ray Region at FLASH",213 213,
tubau04,"J. B. Rosenzweig, UCLA, Los Angeles, California; M. Boscolo, INFN/LNF, Frascati (Roma); M. P. Dunning, L. Faillace, UCLA, Los Angeles, California; M. Ferrario, INFN/LNF, Frascati (Roma); A. Fukasawa, UCLA, Los Angeles, California; L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); E. Hemsing, G. Marcus, A. Marinelli, P. Musumeci, B. D. O'Shea, UCLA, Los Angeles, California; L. Palumbo, INFN/LNF, Frascati (Roma); C. Pellegrini, UCLA, Los Angeles, California; V. Petrillo, Istituto Nazionale di Fisica Nucleare, Milano; S. Reiche, UCLA, Los Angeles, California; C. Ronsivalle, ENEA C. R. Frascati, Frascati (Roma); B. Spataro, C. Vaccarezza, INFN/LNF, Frascati (Roma)","Generation of Sub-fsec, High Brightness Electron Beams for Single Spike SASE FEL Operation",214 217,
tubau05,"M. Yoon, POSTECH, Pohang, Kyungbuk; I. M. Hwang, CHEP, Daegu; W. H. Hwang, D. E. Kim, PAL, Pohang, Kyungbuk; E.-S. Kim, Kyungpook National University, Daegu; S. J. Park, PAL, Pohang, Kyungbuk","A 0.1 nm SASE FEL at Pohang Accelerator Laboratory",218 221,
tubau06,"Y. Otake, RIKEN/SPring-8, Hyogo","Construction Status of XFEL/SPring-8 (Its Stability Issue)",222 226,
tucau04,"Y. K. Wu, FEL/Duke University, Durham, North Carolina; S. V. Benson, JLAB, Newport News, Virginia; J. Li, S. F. Mikhailov, FEL/Duke University, Durham, North Carolina; G. Neil, JLAB, Newport News, Virginia; V. Popov, FEL/Duke University, Durham, North Carolina","Second Harmonic Lasing with Storage Ring Based FELs",459 459,
tupph001,"F. Le Pimpec, R. Ganter, C. Gough, C. P. Hauri, M. Paraliev, PSI, Villigen","Comparison of High Gradient Achievement for Different Metals in DC and Pulsed DC Mode",227 230,
tupph002,"P. J.M. van der Slot, K.-J. Boller, T. Denis, Mesa+, Enschede","The Photonic FEL: Toward a Handheld THz FEL",231 234,
tupph003,"V. Miltchev, A. Azima, J. Boedewadt, H. Delsim-Hashemi, M. Drescher, Uni HH, Hamburg; S. Düsterer, J. Feldhaus, DESY, Hamburg; R. Ischebeck, PSI, Villigen; S. Khan, Uni HH, Hamburg; T. Laarmann, DESY, Hamburg; Th. Maltezopoulos, M. Mittenzwey, J. Rossbach, Uni HH, Hamburg; H. Schlarb, DESY, Hamburg; R. Tarkeshian, M. Wieland, Uni HH, Hamburg","Tolerance Studies on the High Harmonic Laser Seeding at Flash",235 238,
tupph004,"B. Faatz, W. Decking, Y. Li, J. Pflueger, E. Saldin, E. Schneidmiller, M. V. Yurkov, DESY, Hamburg","Study of Controllable Polarization SASE FEL using a Crossed-planar Undulator",239 242,
tupph006,"J. Bahrdt, M. Abo-Bakr, W. Frentrup, A. Gaupp, BESSY GmbH, Berlin; S. K. Hoffgen, FhG, Euskirchen; K. Holldack, BESSY GmbH, Berlin; J. Kuhnhenn, FhG, Euskirchen; F. Lindau, MAX-lab, Lund; M. Scheer, BESSY GmbH, Berlin; S. Thorin, MAX-lab, Lund; U. Weinand, FhG, Euskirchen; S. Werin, MAX-lab, Lund","Diagnostic Tools for the Undulator System of the Seeded HGHG-FEL at MAX-lab",243 246,
tupph008,"J. H. Park, M. Babzien, K. Kusche, V. Yakimenko, BNL, Upton, Long Island, New York","Experimental Approaches of Emittance Dilution Induced by Misalignments in a Photoinjector",247 250,
tupph009,"S. Spampinati, S. Di Mitri, B. Diviacco, ELETTRA, Basovizza","Effects of Undulator Steering on FERMI@ELETTRA FEL",251 253,
tupph011,"P. Evtushenko, A. Freyberger, JLAB, Newport News, Virginia; C. Liu, CASA, newport news; A. H. Lumpkin, Fermilab, Batavia, Illinois","Near-Field Optical Diffraction Radiation Measurements at CEBAF",254 257,
tupph012,"M. Ferrario, INFN/LNF, Frascati (Roma); G. Andonian, UCLA, Los Angeles, California; A. Bacci, I. Boscolo, Istituto Nazionale di Fisica Nucleare, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); F. Castelli, S. Cialdi, Istituto Nazionale di Fisica Nucleare, Milano; L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); E. Hemsing, G. Marcus, UCLA, Los Angeles, California; L. Palumbo, INFN/LNF, Frascati (Roma); V. Petrillo, Istituto Nazionale di Fisica Nucleare, Milano; S. Reiche, UCLA, Los Angeles, California; C. Ronsivalle, ENEA C. R. Frascati, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; L. Serafini, Istituto Nazionale di Fisica Nucleare, Milano; M. Serluca, INFN-Roma, Roma; C. Vaccarezza, INFN/LNF, Frascati (Roma)","Single spike experiments with the SPARC SASE FEL",258 261,
tupph014,"J. D. Jarvis, H. L. Andrews, C. A. Brau, B. K. Choi, J. L. Davidson, W. P. Kang, S. Raina, Y. M. Wong, Vanderbilt University, Nashville, Tennessee","Transverse Emittance of Diamond Field-Emitter Arrays",262 264,
tupph015,"F. Briquez, C. Benabderrahmane, O. V. Chubar, M.-E. Couprie, T. K. El Ajjouri, C. A. Kitegi, F. Marteau, A. Mary, K. Tavakoli, J. Vétéran, SOLEIL, Gif-sur-Yvette","Construction of Short Period APPLE II Type Undulators at SOLEIL",265 268,
tupph016,"J. D. Jarvis, H. L. Andrews, C. A. Brau, B. K. Choi, J. L. Davidson, W. P. Kang, S. Raina, Y. M. Wong, Vanderbilt University, Nashville, Tennessee","Fabrication of Diamond Field-Emitter-Array Cathodes for Free-Electron Lasers",269 270,
tupph017,"D. E. Kim, H. S. Han, C. K. Kim, H.-G. Lee, S. H. Nam, C. D. Park, K.-H. Park, H. S. Suh, PAL, Pohang, Kyungbuk; M. Yoon, POSTECH, Pohang, Kyungbuk; Y. G. Young-Gyu, PAL, Pohang, Kyungbuk","In Vacuum Undulator System for PAL-FEL",271 273,
tupph018,"G. Marcus, G. Andonian, UCLA, Los Angeles, California; M. Ferrario, INFN/LNF, Frascati (Roma); A. Fukasawa, UCLA, Los Angeles, California; L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); L. Palumbo, INFN/LNF, Frascati (Roma); S. Reiche, J. B. Rosenzweig, UCLA, Los Angeles, California","Longitudinal Diagnostic for Single-Spike SASE FEL Operation",274 277,
tupph019,"C. Kim, PAL, Pohang, Kyungbuk; K. Hyun, I. S. Ko, POSTECH, Pohang, Kyungbuk; Y. W. Parc, J. Park, PAL, Pohang, Kyungbuk; C. Yim, POSTECH, Pohang, Kyungbuk","Laser Pulse Shaping for Generation of Low-Emittance Electron-Beam",278 281,
tupph021,"L. Faillace, UCLA, Los Angeles, California; P. Frigola, RadiaBeam, Marina del Rey; A. Fukasawa, B. D. O'Shea, UCLA, Los Angeles, California; L. Palumbo, INFN/LNF, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; B. Spataro, INFN/LNF, Frascati (Roma)","An Ultra-high Repetition Rate S-band RF Gun",282 284,
tupph023,"J. B. Rosenzweig, M. P. Dunning, UCLA, Los Angeles, California; M. Ferrario, INFN/LNF, Frascati (Roma); E. Hemsing, G. Marcus, A. Marinelli, P. Musumeci, UCLA, Los Angeles, California","Quasicrystalline Beam Formation in RF Photoinjectors",285 288,
tupph024,"H. Tomizawa, H. Dewa, H. Hanaki, A. Mizuno, T. Taniuchi, JASRI/SPring-8, Hyogo-ken","Review of Manipulation Laser Technology on 3D-Pulse-Shape & Polarization for the Conventional Photocathode RF Gun and the Future Z-polarization Schottky Emission Gun",289 293,
tupph026,"K. Kasamsook, H. Hama, F. Hinode, M. Kawai, K. Nanbu, M. Yasuda, Tohoku University, School of Scinece, Sendai","Emittance Measurement of a DC Gun for Smith-Purcell Backward Wave Oscillator FEL",294 297,
tupph027,"Z. Huang, K. L.F. Bane, F.-J. Decker, Y. T. Ding, D. Dowell, P. Emma, J. C. Frisch, R. H. Iverson, C. Limborg-Deprey, H. Loos, H.-D. Nuhn, SLAC, Menlo Park, California; D. F. Ratner, Stanford University, Stanford, Califormia; G. V. Stupakov, J. L. Turner, J. J. Welch, J. Wu, SLAC, Menlo Park, California","Measurements of Coherent Synchrotron Radiation and its Impact on the LCLS Electron Beam",298 301,
tupph028,"J. D. Jarvis, H. L. Andrews, C. A. Brau, B. K. Choi, J. L. Davidson, W. P. Kang, S. Raina, Y. M. Wong, Vanderbilt University, Nashville, Tennessee","Uniformity Conditioning of Diamond Field-Emitter Arrays",302 304,
tupph029,"H. Hama, F. Hinode, K. Kasamsook, M. Kawai, K. Nanbu, M. Yasuda, Tohoku University, School of Scinece, Sendai","Space Charge Effect for Short Electron Bunches in an Alpha Magnet",305 308,
tupph030,"G. V. Stupakov, SLAC, Menlo Park, California","Longitudinal and Transverse Self-forces in Relativistic Line-charge Beam",309 312,
tupph033,"J. J. Welch, S. DeBarger, P. Emma, N. Li, J. Wu, SLAC, Menlo Park, California","LCLS Compressor Dipole Field Quality and Beam Measurements",313 316,
tupph034,"J. D. Jarvis, H. L. Andrews, C. A. Brau, B. K. Choi, J. L. Davidson, W. P. Kang, S. Raina, C. L. Stewart, Y. M. Wong, Vanderbilt University, Nashville, Tennessee","Toward Energy-Spread Measurements of Diamond Field-Emitter Arrays",317 319,
tupph035,"I. M. Hwang, POSTECH, Pohang, Kyungbuk; E.-S. Kim, Kyungpook National University, Daegu; M. Yoon, POSTECH, Pohang, Kyungbuk","Optimization and Sensitivity Studies for PAL FEL Injector",320 322,
tupph036,"F. Scarlat, E. S. Badita, INFLPR, Bucharest - Magurele; C. Bontoiu, ELETTRA, Basovizza; G. Georgescu, R. Medianu, E. Mitru, M. Oane, A. M. Scarisoreanu, INFLPR, Bucharest - Magurele","Status of the FEL Project at NILPRP",323 325,
tupph037,"R. Spesyvtsev, J. W. Baehr, M. Krasilnikov, J. Roensch, DESY Zeuthen, Zeuthen","A Transverse Slice Emittance Measurement System Using Quadrupole Scan Technique and Streak Readout at PITZ",326 329,
tupph038,"J. Roensch, Uni HH, Hamburg; G. Asova, J. W. Baehr, C. H. Boulware, H.-J. Grabosch, L. Hakobyan, M. Hänel, Ye. Ivanisenko, M. K. Khojoyan, M. Krasilnikov, DESY Zeuthen, Zeuthen; S. Lederer, D. Lipka, DESY, Hamburg; B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Rimjaem, DESY Zeuthen, Zeuthen; K. Rosbach, Humboldt University Berlin, Institut für Physik, Berlin; J. Rossbach, Uni HH, Hamburg; T. A. Scholz, A. Shapovalov, R. Spesyvtsev, F. Stephan, DESY Zeuthen, Zeuthen","First Measurement Results from the Upgraded Low Energy Longgitudinal Phase Space Diagnostics at PITZ",330 333,
tupph040,"A. Fukasawa, UCLA, Los Angeles, California; D. Alesini, INFN/LNF, Frascati (Roma); H. Badakov, UCLA, Los Angeles, California; L. Ficcadenti, INFN/LNF, Frascati (Roma); B. D. O'Shea, UCLA, Los Angeles, California; L. Palumbo, Rome University La Sapienza, Roma; J. B. Rosenzweig, UCLA, Los Angeles, California; B. Spataro, INFN/LNF, Frascati (Roma)","A Hybrid Standing Wave-Traveling Wave Photoinjector",334 337,
tupph041,"D. F. Ratner, Stanford University, Stanford, Califormia; A. Chao, Z. Huang, SLAC, Menlo Park, California","Three-dimensional Analysis of Longitudinal Space Charge Microbunching Starting from Shot Noise",338 341,
tupph043,"S. Spampinati, S. Di Mitri, M. Ferianis, M. Veronese, ELETTRA, Basovizza","Diagnostics of the Laser Heater Induced Beam Heating in FERMI@elettra",342 344,
tupph044,"F. Hellberg, H. Danared, A. Hedqvist, MSL, Stockholm; Y. Holler, B. Krause, A. Petrov, J. Pflueger, DESY, Hamburg","Investigation of Quadrupole Magnets for the XFEL Project Using a Rotating Coil Set-up",345 347,
tupph045,"B. C. Kuske, J. Bahrdt, BESSY GmbH, Berlin","Tolerance Studies for APPLE Undulators in FEL Facilities",348 351,
tupph046,"Y. Otake, RIKEN Spring-8 Harima, Hyogo; N. Hosoda, RIKEN/SPring-8, Hyogo; K. Imai, OPtical Comb, Inc., Yokohama; M. K. Kitamura, RIKEN/SPring-8, Hyogo; M. Kourogi, OPtical Comb, Inc., Yokohama; H. Maesaka, RIKEN/SPring-8, Hyogo; M. Musya, University of electro-communications, Tokyo; T. Ohshima, RIKEN/SPring-8, Hyogo; K. Tamasaku, RIKEN Spring-8 Harima, Hyogo","Development of the Optical Timing and RF Distribution System for XFEL/SPring-8",352 355,
tupph047,"H. H. Lu, IHEP Beijing, Beijing; P. Neumann, J. Pflueger, M. Rueter, M. Tischer, T. Vielitz, DESY, Hamburg; D. Wang, M. T. Wang, J. Zhuang, IHEP Beijing, Beijing","A Permanent Magnet Phase Shifter for the European-XFEL",356 358,
tupph048,"M. Ferrario, D. Alesini, INFN/LNF, Frascati (Roma); A. Bacci, Istituto Nazionale di Fisica Nucleare, Milano; M. Bellaveglia, R. Boni, INFN/LNF, Frascati (Roma); I. Boscolo, Istituto Nazionale di Fisica Nucleare, Milano; M. Boscolo, INFN/LNF, Frascati (Roma); M. Bougeard, CEA, Gif-sur-Yvette; F. Broggi, Istituto Nazionale di Fisica Nucleare, Milano; B. Carré, CEA, Gif-sur-Yvette; M. Castellano, INFN/LNF, Frascati (Roma); F. Castelli, Istituto Nazionale di Fisica Nucleare, Milano; L. Catani, INFN-Roma II, Roma; E. Chiadroni, INFN/LNF, Frascati (Roma); S. Cialdi, Istituto Nazionale di Fisica Nucleare, Milano; A. Cianchi, Università di Roma II Tor Vergata, Roma; F. Ciocci, ENEA C. R. Frascati, Frascati (Roma); A. Clozza, INFN/LNF, Frascati (Roma); M.-E. Couprie, SOLEIL, Gif-sur-Yvette; L. Cultrera, INFN/LNF, Frascati (Roma); G. Dattoli, ENEA C. R. Frascati, Frascati (Roma); C. De Martinis, Istituto Nazionale di Fisica Nucleare, Milano; M. Del Franco, ENEA C. R. Frascati, Frascati (Roma); G. Di Pirro, INFN/LNF, Frascati (Roma); A. Dipace, A. Doria, ENEA C. R. Frascati, Frascati (Roma); A. Drago, A. Esposito, L. Ficcadenti, D. Filippetto, V. Fusco, INFN/LNF, Frascati (Roma); G. P. Gallerano, ENEA C. R. Frascati, Frascati (Roma); A. Gallo, INFN/LNF, Frascati (Roma); D. Garzella, CEA, Gif-sur-Yvette; G. Gatti, A. Ghigo, INFN/LNF, Frascati (Roma); L. Giannessi, ENEA C. R. Frascati, Frascati (Roma); D. Giove, Istituto Nazionale di Fisica Nucleare, Milano; E. Giovenale, ENEA C. R. Frascati, Frascati (Roma); M. Labat, G. Lambert, CEA, Gif-sur-Yvette; A. Marcelli, B. Marchetti, INFN/LNF, Frascati (Roma); A. Marinelli, UCLA, Los Angeles, California; C. Maroli, Istituto Nazionale di Fisica Nucleare, Milano; M. Mattioli, INFN-Roma, Roma; H. Merdji, CEA, Gif-sur-Yvette; M. Migliorati, A. Mostacci, INFN/LNF, Frascati (Roma); G. L. Orlandi, ENEA C. R. Frascati, Frascati (Roma); E. Pace, INFN/LNF, Frascati (Roma); S. Pagnutti, ENEA C. R. Frascati, Frascati (Roma); L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); A. Petralia, ENEA C. R. Frascati, Frascati (Roma); M. Petrarca, INFN-Roma, Roma; V. Petrillo, Istituto Nazionale di Fisica Nucleare, Milano; M. Quattromini, ENEA C. R. Frascati, Frascati (Roma); R. Ricci, INFN/LNF, Frascati (Roma); C. Ronsivalle, ENEA C. R. Frascati, Frascati (Roma); J. B. Rosenzweig, UCLA, Los Angeles, California; J. Rossbach, Uni HH, Hamburg; A. R. Rossi, Istituto Nazionale di Fisica Nucleare, Milano; U. Rotundo, INFN/LNF, Frascati (Roma); E. Sabia, ENEA C. R. Frascati, Frascati (Roma); P. Salieres, CEA, Gif-sur-Yvette; C. Sanelli, INFN/LNF, Frascati (Roma); L. Serafini, Istituto Nazionale di Fisica Nucleare, Milano; M. Serluca, INFN-Roma, Roma; F. Sgamma, INFN/LNF, Frascati (Roma); I. P. Spassovsky, ENEA C. R. Frascati, Frascati (Roma); B. Spataro, INFN/LNF, Frascati (Roma); V. Surrenti, ENEA C. R. Frascati, Frascati (Roma); F. Tazzioli, INFN/LNF, Frascati (Roma); O. Tchebakoff, CEA, Gif-sur-Yvette; S. Tomassini, C. Vaccarezza, M. Vescovi, C. Vicario, INFN/LNF, Frascati (Roma)","Recent Results of the SPARC Project",359 362,
tupph051,"R. Tarkeshian, J. Boedewadt, M. Drescher, Uni HH, Hamburg; R. Ischebeck, PSI, Villigen; J. Rossbach, Uni HH, Hamburg; H. Schlarb, S. Schreiber, DESY, Hamburg","Conceptual Ideas for the Temporal Overlap of the Electron Beam and the Seed Laser for sFLASH",363 366,
tupph052,"H. Zen, K. Higashimura, T. Kii, R. Kinjo, K. Masuda, H. Ohgaki, Kyoto IAE, Kyoto","Beam Loading Compensation by RF Detuning in a Thermionic RF Gun",367 370,
tupph053,"T. Tanaka, RIKEN Spring-8 Harima, Hyogo; H. Kitamura, RIKEN/SPring-8, Hyogo; T. Seike, JASRI/SPring-8, Hyogo-ken","Measurement of SPring-8 XFEL Undualtor Prototype with the SAFALI System",371 373,
tupph056,"A. Meseck, BESSY GmbH, Berlin","The Impact of the Space Charge on the STARS Performance",374 377,
tupph058,"A. Meseck, B. C. Kuske, BESSY GmbH, Berlin","Developments in Cascaded HGHG-FELs",378 381,
tupph060,"W. Seidel, E. Cizmar, O. Drachenko, FZD, Dresden; L. Eng, Dresden University of Technology, Institute of Applied Photophysics, Dresden; M. Helm, M. Justus, FZD, Dresden; S. C. Kehr, Dresden University of Technology, Institute of Applied Photophysics, Dresden; U. Lehnert, P. Michel, M. Ozerov, H. Schneider, R. Schurig, D. Stehr, M. Wagner, S. Winnerl, D. Wohlfarth, S. Zvyagin, FZD, Dresden","Three Years of CW-Operation at FELBE - Experiences and Applications",382 385,
tupph064,"W. B. Colson, J. Blau, R. L. Edmonson, J. W. Lewellen, B. A. Wilder, NPS, Monterey, California","Free Electron Lasers in 2008",386 390,
tupph065,"K. Nakao, K. Hayakawa, Y. Hayakawa, LEBRA, Funabashi; M. Inagaki, Nihon University, ; K. Nogami, LEBRA, Funabashi; T. Sakai, I. Sato, Nihon University, ; T. Tanaka, LEBRA, Funabashi","Control and Support System for LEBRA FEL Operation",391 393,
tupph067,"J. W. Lewellen, W. B. Colson, S. P. Niles, T. I. Smith, NPS, Monterey, California","Status of the NPS Free-Electron Laser",394 396,
tupph068,"B. Schmidt, C. Behrens, DESY, Hamburg; H. Delsim-Hashemi, P. Schmüser, Uni HH, Hamburg; S. Wesch, DESY, Hamburg","Coherent Micro-Bunching Radiation from Electron Bunches at FLASH in the 10 Micrometer Wavelength Range",397 400,
tupph070,"J. Zemella, V. R. Arsov, M. Felber, K. E. Hacker, F. Loehl, F. Ludwig, K.-H. Matthiesen, H. Schlarb, B. Schmidt, DESY, Hamburg; S. Schulz, Uni HH, Hamburg; A. Winter, DESY, Hamburg","Drift-Free, Cost-Effective Detection Principle to Measure the Timing Overlap between Two Optical Pulse Trains",401 404,
tupph072,"S. Khan, A. Azima, J. Boedewadt, H. Delsim-Hashemi, M. Drescher, Uni HH, Hamburg; S. Düsterer, J. Feldhaus, T. Laarmann, Th. Maltezopoulos, DESY, Hamburg; A. Meseck, BESSY GmbH, Berlin; V. Miltchev, M. Mittenzwey, J. Rossbach, Uni HH, Hamburg; H. Schlarb, DESY, Hamburg; R. Tarkeshian, M. Wieland, Uni HH, Hamburg","sFLASH: An Experiment for Seeding VUV Radiation at FLASH",405 408,
tupph073,"S. Liu, IHEP Beijing, Beijing; S. Araki, M. K. Fukuda, N. Terunuma, J. Urakawa, KEK, Ibaraki","Laser Profile Shaping and Emittance for the Photocathode Injector",409 412,
tupph076,"G. Berden, FOM Rijnhuizen, Nieuwegein; W. A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S. P. Jamison, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; A. MacLeod, UAD, Dundee; P. J. Phillips, University of Dundee, Nethergate, Dundee, Scotland; B. Schmidt, P. Schmüser, B. Steffen, DESY, Hamburg; A. F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Electro-optic Techniques for Longitudinal Electron Bunch Diagnostics",413 416,
tupph077,"K. Chouffani, F. Harmon, IAC, Pocatello; S. Naeem, ISU, Pocatello, Idaho; D. Wells, IAC, Pocatello","Generation and Application of Laser-Compton Scattering (LCS) from Relativistic Electron Beams",417 420,
tupph078,"R. Amirikas, A. Bertolini, J. Eschke, B. Faatz, M. Lomperski, DESY, Hamburg","Vibration Stability Studies of a Type III+ XFEL/FLASH Superconducting Accelerating Module Operating at 2K",421 424,
tupph079,"Ye. Ivanisenko, C. H. Boulware, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Slice Emittance Measurements Using an Energy Chirped Beam in a Dispersive Section at PITZ",425 428,
tupph080,"G. Lambert, LOA, Palaiseau; M. Bougeard, B. Carré, CEA, Gif-sur-Yvette; O. V. Chubar, M.-E. Couprie, SOLEIL, Gif-sur-Yvette; D. Garzella, O. B. Gobert, CEA, Gif-sur-Yvette; T. Hara, RIKEN/SPring-8, Hyogo; T. Ishikawa, RIKEN Spring-8 Harima, Hyogo; H. Kitamura, RIKEN/SPring-8, Hyogo; M. Labat, H. Merdji, P. Salieres, CEA, Gif-sur-Yvette; T. Shintake, RIKEN/SPring-8, Hyogo; K. Tahara, Y. T. Tanaka, RIKEN Spring-8 Harima, Hyogo; T. Tanikawa, UVSOR, Okazaki; M. Yabashi, RIKEN/SPring-8, Hyogo","FEL Emissions at 160 nm in Seeded Configuration on the SCSS Test Accelerator",429 431,
tupph081,"D. Li, K. Imasaki, ILT, Suita, Osaka; G. S. Park, SNU, Seoul; Z. Yang, UESTC, Chengdu, Sichuan","Smith-Purcell Free-Electron Laser with Sidewall Grating",432 434,
tupph082,"A. Maekawa, The University of Tokyo, Nuclear Professional School, Ibaraki-ken; H. Tomizawa, JASRI/SPring-8, Hyogo-ken; M. Uesaka, The University of Tokyo, Nuclear Professional School, Ibaraki-ken","Generation of Radial Polarized Laser Beam and its Applications for Accelerator",435 438,
tupph083,"D. Li, ILT, Suita, Osaka; S. Amano, K. Horikawa, NewSUBARU/SPring-8, Laboratory of Advanced Science and Technology for Industry (LASTI), Hyogo; K. Imasaki, ILT, Suita, Osaka; K. Ishihara, S. Miyamoto, T. Mochizuki, NewSUBARU/SPring-8, Laboratory of Advanced Science and Technology for Industry (LASTI), Hyogo","Positron Generation through Laser Compton Scattering Gamma-ray",439 441,
tupph084,"K.-H. Park, PAL, Pohang, Kyungbuk; J.-S. Chai, KIRAMS, Seoul; B.-K. Kang, POSTECH, Pohang, Kyungbuk; J. Kang, KIRAMS, Seoul; D. E. Kim, Y. G. Young-Gyu, Y. D. Yun, PAL, Pohang, Kyungbuk","Field Mapping System for KIRAMS-30 Cyclotron Magnet",442 444,
tupph085,"S.-H. Jeong, J. Choi, D. E. Kim, K.-H. Park, PAL, Pohang, Kyungbuk","Digital Power Supply for Air Core Magnet",445 447,
tupph087,"P. J.M. van der Slot, K.-J. Boller, R. A. Loch, M. J.H. Luttikhof, L. G. Prodan, M. Tesselaar, Mesa+, Enschede; J. W.J. Verschuur, Twente University, Laser Physics and Non-Linear Optics Group, Enschede","Real-Time Ellipsometry for Monitoring the Growth of Cesium-Telluride Photocathodes",448 451,
tupph088,"M. White, J. T. Collins, M. S. Jaski, G. Pile, S. Sasaki, S. E. Shoaf, S. J. Stein, E. Trakhtenberg, I. Vasserman, J. Z. Xu, ANL, Argonne, Illinois","Magnets, Supports, and Controls for the Linac Coherent Light Source (LCLS) Undulator System",452 454,
tupph089,"D. R. Walters, J. L. Bailey, W. Berg, P. K. Den Hartog, J. Erdmann, S.-H. Lee, R. M. Lill, J. W. Morgan, G. Pile, W. F. Toter, E. Trakhtenberg, G. E. Wiemerslage, B. X. Yang, ANL, Argonne, Illinois","Vacuum and Beam Diagnostics for the Linac Coherent Light Source (LCLS) Undulator System",455 458,
