moam1ha01,"I.N. Meshkov [JINR, Dubna, Moscow Region, Russia] ","Beam Cooling, Past, Present and Future",99 98,
moam1ha02,"M. Blaskiewicz, J.M. Brennan, K. Mernick [BNL, Upton, Long Island, New York, USA] ","RHIC Luminosity Increase with Bunched Beam Stochastic Cooling",6 10,
moam2ha01,"D.M. Kaplan [Illinois Institute of Technology, Chicago, Illinois, USA] ","Muon Cooling, Muon Colliders, and the MICE Experiment",11 15,
moam2ha02,"M.A. Palmer [Fermilab, Batavia, USA] ","An Overview of the US Muon Accelerator Program",16 20,
moam2ha03,"R.P. Johnson, C.M. Ankenbrandt, G. Flanagan, G.M. Kazakevich, F. Marhauser, M.L. Neubauer, T.J. Roberts, C. Y. Yoshikawa [Muons. Inc., USA] Y.S. Derbenev, V.S. Morozov [JLAB, Newport News, Virginia, USA] V.S. Kashikhin, M.L. Lopes, A.V. Tollestrup, K. Yonehara, A.V. Zlobin [Fermilab, Batavia, USA] ","Muon Beam Helical Cooling Channel Design",21 25,
moam2ha04,"R.B. Palmer, J.S. Berg, D. Stratakis [BNL, Upton, Long Island, New York, USA] ","6D Cooling in Periodic Lattices Including a Planar Snake",26 30,
mopm2ha01,"D. Manglunki [CERN, Geneva, Switzerland] ","LEIR Operations for the LHC and Future Plans",31 35,
mopm2ha02,"T. Eriksson, M.E. Angoletta, L. Arnaudon, P. Belochitskii, L. Bojtar (L. Bojtár), M. Calviani, F. Caspers, S. Federmann, L.V. Joergensen (L.V. Jørgensen), R. Louwerse, C. Oliveira, G. Tranquille [CERN, Geneva, Switzerland] ","AD Status and Consolidation Plans",36 39,
tham1ha01,"H. Okamoto [HU/AdSM, Higashi-Hiroshima, Japan] ","Beam Crystallization - Are We There Yet?",152 156,
tham1ha02,"A. Noda, M. Nakao, H. Souda, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] M. Grieser [MPI-K, Heidelberg, Germany] Z.Q. He [TUB, Beijing, People's Republic of China] K. Jimbo [Kyoto University, Institute for Advanced Energy, Kyoto, Japan] H. Okamoto, K. Osaki [HU/AdSM, Higashi-Hiroshima, Japan] Y. Yuri [JAEA/TARRI, Gunma-ken, Japan] ","Latest Results of Experimental Approach to Ultra-cold Beam at S-LSR",157 161,
tham1ha03,"Y. Yuri [JAEA/TARRI, Gunma-ken, Japan] Z.Q. He [Tsinghua University, Beijing, People's Republic of China] K. Jimbo [Kyoto University, Institute for Advanced Energy, Kyoto, Japan] M. Nakao, A. Noda, H. Souda, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] H. Okamoto, K. Osaki [HU/AdSM, Higashi-Hiroshima, Japan] ","Simulation Study on Transverse Laser Cooling and Crystallization of Heavy-Ion Beams at the Cooler Storage Ring S-LSR",162 165,
tham1ha04,"D.F.A. Winters, C.J. Clark, C. Dimopoulou, T. Giacomini, C. Kozhuharov, T. Kuehl (T. Kühl), Yu.A. Litvinov, M. Lochmann, W. Noertershaeuser (W. Nörtershäuser), F. Nolden, R.M. Sanchez Alarcon, M.S. Sanjari, M. Steck, T. Stoehlker (T. Stöhlker), J. Ullmann [GSI, Darmstadt, Germany] T. Beck, G. Birkl, B. Rein, S. Tichelmann, T. Walther [TU Darmstadt, Darmstadt, Germany] M.H. Bussmann, U. Schramm, M. Seltmann [Helmholtz-Zentrum Dresden-Rossendorf (HZDR), Institute of Radiation Physics, Dresden, Germany] X. Ma, W.Q. Wen, J. Yang, D. Zhang [IMP, Lanzhou, People's Republic of China] M. Siebold [HZDR, Dresden, Germany] ","Broadband Lasercooling of Relativistic C3+ Ions at the ESR",166 169,
tham2ha01,"T. Katayama, M. Steck [GSI, Darmstadt, Germany] T. Kikuchi [Nagaoka University of Technology, Nagaoka, Niigata, Japan] I.N. Meshkov [JINR, Dubna, Moscow Region, Russia] H. Stockhorst [FZJ, Jülich, Germany] ","Beam Accumulation and Bunching with Cooling",170 174,
tham2ha02,"V. Litvinenko [BNL, Upton, Long Island, New York, USA] ","Advances in Coherent Electron Cooling",175 183,
tham2ha03,"G.V. Stupakov [SLAC, Menlo Park, California, USA] A. Sessler, M.S. Zolotorev [LBNL, Berkeley, California, USA] ","Noise Suppression in Relativistic Electron Beams",184 188,
thpm1ha01,"F. Herfurth, A. Braeuning-Demian, W. Enders, B. J. Franzke, O.K. Kester, M. Lestinsky, Yu.A. Litvinov, M. Steck, T. Stoehlker (T. Stöhlker), G. Vorobjev [GSI, Darmstadt, Germany] H. Danared [ESS, Lund, Sweden] M. Engström, A. Källberg, A. Simonsson, Ö. Skeppstedt [MSL, Stockholm, Sweden] A. Heinz [Chalmers University of Technology, Chalmers Tekniska Högskola, Gothenburg, Sweden] D. Reistad [Intégro Utbildnings AB, Sigtuna, Sweden] J. Sjöholm [FYSIKUM, AlbaNova, Stockholm University, Stockholm, Sweden] ","The Low Energy Storage Ring CRYRING@ESR",189 191,
thpm1ha02,"P. Belochitskii [CERN, Geneva, Switzerland] ","ELENA Project Status",192 196,
thpm2ha01,"A.V. Smirnov, N.N. Agapov, A.V. Butenko, H.G. Khodzhibagiyan, O.S. Kozlov, I.N. Meshkov, V.A. Mikhailov, A.O. Sidorin, G.V. Trubnikov, A. Tuzikov, V. Volkov [JINR, Dubna, Moscow Region, Russia] A.V. Eliseev [JINR/VBLHEP, Dubna, Moscow region, Russia] ","Present Status of NICA Project",197 201,
thpm2ha03,"U. Chowdhury, J. Dilling, B. Eberhardt [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] A.A. Gallant, T.D. Macdonald [UBC  TRIUMF, Vancouver, British Columbia, Canada] G. Gwinner [University of Manitoba, Manitoba, Canada] R. Klawitter [Heidelberg University, Physics Institute, Heidelberg, Germany] ","A Cooler Penning Trap to Cool Highly Charged and Short-lived Isotopes at TITAN",202 205,
tuam1ha01,"C. Dimopoulou, D. Barker, R. Böhm, A. Dolinskyy, B. J. Franzke, R. Hettrich, W. Maier, R. Menges, F. Nolden, C. Peschke, P. Petri, M. Steck [GSI, Darmstadt, Germany] L. Thorndahl [CERN, Geneva, Switzerland] ","Progress of the Stochastic Cooling System of the Collector Ring",40 43,
tuam1ha02,"H. Stockhorst, R. Gebel, V. Kamerdzhiev, A. Lehrach, B. Lorentz, R. Maier, D. Prasuhn, R. Stassen [FZJ, Jülich, Germany] T. Katayama [GSI, Darmstadt, Germany] ","Stochastic Cooling of a Polarized Proton Beam at COSY",44 48,
tuam1ha03,"L. Thorndahl [CERN, Geneva, Switzerland] ","Stochastic Cooling of Bunched Ions Simulated in the Time Domain",49 51,
tuam1ha04,"T. Katayama, C. Dimopoulou, A. Dolinskyy, F. Nolden, M. Steck [GSI, Darmstadt, Germany] ","Simulation Study of Stochastic Cooling of Heavy Ion Beam at the Collector Ring of FAIR",52 54,
tuam2ha01,"V.V. Parkhomchuk [BINP SB RAS, Novosibirsk, Russia] ","Novel Ideas in Electron Cooling",55 59,
tuam2ha02,"L.R. Prost, S. Nagaitsev [Fermilab, Batavia, USA] ","FERMILAB's Experience with a High-Energy Electron Cooler",60 64,
tuam2ha03,"K. Aulenbacher [HIM, Mainz, Germany] ","Electron Cooler R&D at Helmholtz-Institut Mainz",65 67,
tuam2ha04,"Y. Zhang [JLAB, Newport News, Virginia, USA] ","Electron Cooling R&D Program for Medium Energy Electron-Ion Collider at Jefferson Lab",68 72,
tupm1ha01,"N. Shurkhno, A.O. Sidorin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] T. Katayama [GSI, Darmstadt, Germany] R. Stassen [FZJ, Jülich, Germany] ","Study for Stochastic Cooling at Nuclotron, JINR",73 75,
tupm1ha02,"M. Schaumann, J.M. Jowett [CERN, Geneva, Switzerland] M. Blaskiewicz [BNL, Upton, Long Island, New York, USA] ","Potential of Stochastic Cooling of Heavy Ions in the LHC",76 78,
tupm2ha01,"V.B. Reva, N. Alinovskiy, T.V. Bedareva, E.A. Bekhtenev, O.V. Belikov, V.N. Bocharov, V.V. Borodich, M.I. Bryzgunov, A.V. Bubley, V.A. Chekavinskiy, V.G. Cheskidov, B.A. Dovzhenko, A.I. Erokhin, M.G. Fedotov, A.D. Goncharov, K. Gorchakov, V.K. Gosteev, I.A. Gusev, A.A. Ivanov, G.V. Karpov, Y.I. Koisin, M.N. Kondaurov, V.R. Kozak, A.M. Kruchkov, A.D. Lisitsyn, I.A. Lopatkin, V.R. Mamkin, A.S. Medvedko, V.M. Panasyuk, V.V. Parkhomchuk, I.V. Poletaev, V.A. Polukhin, A.Yu. Protopopov, D.N. Pureskin, A.A. Putmakov, P.A. Selivanov, E.P. Semenov, D.V. Senkov, D.N. Skorobogatov, N.P. Zapiatkin [BINP SB RAS, Novosibirsk, Russia] ","Commissioning COSY Cooler with Electron Beam at Novosibirsk",79 83,
weam1ha02,"X.D. Yang, G.H. Li, J. Li, X.M. Ma, L.J. Mao, T.L. Yan, D.Y. Yin [IMP, Lanzhou, People's Republic of China] ","Influence of Electron Energy Detuning on the Lifetime and Stability of Ion Beam in CSRm",84 88,
weam1ha03,"M. Grieser, R. Bastert, K. Blaum, A. Wolf [MPI-K, Heidelberg, Germany] S. Artikova [KEK, Ibaraki, Japan] ","Cooling Activities at the TSR Storage Ring",89 93,
weppo01,"E.G. Bessonov, A.L. Osipov [LPI, Moscow, Russia] A.A. Mikhailichenko [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Fast Laser Cooling of Long Lived Ion Beams",94 96,
weppo02,"A.V. Smirnov, I.N. Meshkov, A.O. Sidorin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] A.V. Eliseev [JINR/VBLHEP, Dubna, Moscow region, Russia] T. Katayama [GSI, Darmstadt, Germany] ","Stacking Modes with Barrier Buckets Method in NICA Collider",97 99,
weppo03,"M.W. Bruker, K. Aulenbacher, J. Dietrich, S. Friederich, A. Hofmann, T. Weilbach [HIM, Mainz, Germany] K. Aulenbacher [IKP, Mainz, Germany] ","Operational Experience with the HESR Electron Cooler Test Set-up",100 102,
weppo04,"M.I. Bryzgunov, A.V. Bubley, V.A. Chekavinskiy, I.A. Gusev, A.V. Ivanov, M.N. Kondaurov, V.M. Panasyuk, V.V. Parkhomchuk, D.N. Pureskin, A.A. Putmakov, V.B. Reva, D.V. Senkov, D.N. Skorobogatov [BINP SB RAS, Novosibirsk, Russia] ","Collector for Electron Cooling Systems with Suppression of Reflected Electron Flux",103 106,
weppo05,"A. Hofmann, K. Aulenbacher, M.W. Bruker, J. Dietrich, S. Friederich, T. Weilbach [HIM, Mainz, Germany] ","Powering of the HV-Solenoids at the HESR Electron Cooler",107 109,
weppo07,"V.M. Panasyuk, M.I. Bryzgunov, A.V. Bubley, V.V. Parkhomchuk, V.B. Reva [BINP SB RAS, Novosibirsk, Russia] ","Matching of Magnetic Field with Energy of Electrons in 2 MeV COSY Cooler",110 112,
weppo08,"S. Yakovenko, E.V. Ahmanova, A.G. Kobets, I.N. Meshkov, R.V. Pivin, A.Yu. Rudakov, A.V. Shabunov, A.V. Smirnov, N.D. Topilin, Yu.A. Tumanova [JINR, Dubna, Moscow Region, Russia] A.A. Filippov [Allrussian Electrotechnical Institute, Moskow, Russia] A.V. Ivanov, V.V. Parkhomchuk [BINP SB RAS, Novosibirsk, Russia] ","Electron Cooler for the NICA Collider",113 115,
weppo10,"T. Weilbach, K. Aulenbacher, M.W. Bruker [HIM, Mainz, Germany] ","Beam Profile Measurements for Magnetized High Energy Cooling Devices",116 118,
weppo11,"A.G. Kobets, E.V. Ahmanova, V.I. Lokhmatov, I.N. Meshkov, V. Pavlov, A.Yu. Rudakov, A.A. Sidorin, S. Yakovenko [JINR, Dubna, Moscow Region, Russia] M.K. Eseev [NAFU, Arkhangelsk, Russia] ","LEPTA Project: Towards Positronium",119 120,
weppo12,"A.V. Bubley, M.I. Bryzgunov, V.G. Cheskidov, M.G. Fedotov, V.K. Gosteev, O.I. Meshkov, V.M. Panasyuk, V.V. Parkhomchuk, V.B. Reva [BINP SB RAS, Novosibirsk, Russia] V. Kamerdzhiev, G. Langenberg [FZJ, Jülich, Germany] ","Compass for Measuring the Magnetic Lines Straightness at the Cooling Section in Vacuum",121 123,
weppo13,"L.J. Mao [FZJ, Jülich, Germany] J. Dietrich [HIM, Mainz, Germany] J. Dietrich [DELTA, Dortmund, Germany] J. Li, X.D. Yang [IMP, Lanzhou, People's Republic of China] ","Simulation Study of Beam Cooling with Electron Energy Modulation",124 126,
weppo14,"I. Pinayev, S.A. Belomestnykh, I. Ben-Zvi, K.A. Brown, J.C. Brutus, L. DeSanto, A. Elizarov, C. Folz, D.M. Gassner, Y. Hao, R.L. Hulsart, Y.C. Jing, D. Kayran, R.F. Lambiase, V. Litvinenko, G.J. Mahler, M. Mapes, W. Meng, R.J. Michnoff, T.A. Miller, M.G. Minty, P. Orfin, A. Pendzick, F. Randazzo, T. Rao, T. Roser, J. Sandberg, B. Sheehy, J. Skaritka, K.S. Smith, L. Snydstrup, R. Than, R.J. Todd, J.E. Tuozzolo, G. Wang, D. Weiss, M. Wilinski, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] G.I. Bell, J.R. Cary, K. Paul, B.T. Schwartz, S.D. Webb [Tech-X, Boulder, Colorado, USA] C.H. Boulware, T.L. Grimm, R. Jecks, N. Miller [Niowave, Inc., Lansing, Michigan, USA] M.A. Kholopov, P. Vobly [BINP SB RAS, Novosibirsk, Russia] M. Poelker [JLAB, Newport News, Virginia, USA] ","Present Status of Coherent Electron Cooling Proof-of-principle Experiment",127 129,
weppo15,"G. Tranquille, L.V. Joergensen (L.V. Jørgensen) [CERN, Geneva, Switzerland] ","Performance Update of the LEIR Electron Cooler",130 132,
weppo16,"G. Tranquille, A. Frassier, L.V. Joergensen (L.V. Jørgensen) [CERN, Geneva, Switzerland] ","The ELENA Electron Cooler: Parameter Choice and Expected Performance",133 135,
weppo17,"V. Blackmore [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] ","Results from Step I of MICE and Physics Plan for Step IV",136 138,
weppo18,"K. Ronald, A.J. Dick, C.G. Whyte [USTRAT/SUPA, Glasgow, United Kingdom] ","Progress Towards the Completion of the MICE Apparatus",139 141,
weppo19,"W. Maier, C. Dimopoulou, R. Hettrich, F. Nolden, C. Peschke, P. Petri, M. Steck [GSI, Darmstadt, Germany] ","The Novel Optical Notch Filter for Stochastic Cooling at the ESR",142 145,
weppo20,"C. Peschke, R. Böhm, C. Dimopoulou, F. Nolden, P. Petri [GSI, Darmstadt, Germany] ","RF-System for Stochastic Cooling in the FAIR Collector Ring",146 148,
weppo21,"L. Thorndahl [CERN, Geneva, Switzerland] D. Barker, C. Dimopoulou, C. Peschke [GSI, Darmstadt, Germany] ","Design of the Palmer Pickup for Stochastic Pre-cooling of Heavy Ions at the CR",149 151,
