fra3o01,"M. Marquarding [CASS, Epping, Australia] ","Past, Present and Future of the ASKAP Monitoring and Control System",1162 1164,
fra3o02,"J. Nicoloso [CEA/DAM/DIF, Arpajon, France] ","The Laser Magajoule Facility: Control System Status Report",1165 1168,
fra3o03,"M. Janousch, A.D. Alarcon, A. Ambrosch, D. Anicic, A.G. Bertrand, K. Bitterli, H. Brands, P. Bucher, T. Celcer, P. Chevtsov, E.J. Divall, S.G. Ebner, M. Gasche, A. Gobbo, F. Haemmerli, C.E. Higgs, T. Hovel, T. Humar, G. Janser, G. Jud, B. Kalantari, R. Kapeller, R.A. Krempaska (R.A. Krempaská), D.J. Lauk, M.P. Laznovsky, C. Luscher, H. Lutz, D. Maier-Manojlovic, F. Märki, T. Pal, W. Portmann, S.G. Rees, T. Zamofing, C. Zellweger, D. Zimoch, E. Zimoch [PSI, Villigen PSI, Switzerland] ","Overview and Status of the SwissFEL Project at PSI",1169 1172,
frb3o01,"C.Y. Liao, Y.-T. Chang, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, S.Y. Hsu, K.H. Hu, C. H. Huang, C.H. Kuo, D. Lee, C.-J. Wang, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Commissioning of the TPS Control System",1173 1176,
frb3o02,"T. Korhonen, R. Andersson, F. Bellorini, S.L. Birch, D.P. Brodrick, H. Carling, J. Cereijo García, R.N. Fernandes, L. Fernandez, B. Gallese, S.R. Gysin, E. Laface, N. Levchenko, M. Mansouri Sharifabad, A. Monera Martinez, R. Mudingay, A. Nordt, D. Paulic, D.P. Piso, K. Rathsman, M. Rescic (M. Reščič), G. Trahern, M. Zaera-Sanz [ESS, Lund, Sweden] N. Claesson, U. Rojec, K. Strnisa (K. Strniša), A.A. Söderqvist [Cosylab, Ljubljana, Slovenia] ","Status of the European Spallation Source Control System",1177 1181,
moa3o01,"L.R. Brederode [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] A. Marassi [INAF-OAT, Trieste, Italy] S. Riggi [INAF-OACT, Catania, Italy] ","SKA Telescope Manager Project Status Report",99 98,
moa3o02,"R. Bacher, A. Aghababyan, P.K. Bartkiewicz, T. Boeckmann, B. Bruns, M.R. Clausen, T. Delfs, P. Duval, L. Froehlich (L. Fröhlich), W. Gerhardt, C. Gindler, J. Hatje, O. Hensler, J.M. Jäger, R. Kammering, S. Karstensen, H. Keller, V. Kocharyan, O. Korth, A. Labudda, T. Limberg, S.M. Meykopff, M. Moeller (M. Möller), J. Penning, A. Petrosyan, G. Petrosyan, L.P. Petrosyan, V. Petrosyan, P. Pototzki, K.R. Rehlich, S. Rettig-Labusga, H.R. Rickens, G. Schlesselmann, B. Schoeneburg, E. Sombrowski, M. Staack, C. Stechmann, J. Szczesny, J. Wilgen, T. Wilksen, H. Wu [DESY, Hamburg, Germany] S. Abeghyan, A. Beckmann, D. Boukhelef, N. Coppola, S.G. Esenov, B. Fernandes, P. Gessler, G. Giambartolomei, S. Hauf, B.C. Heisen, S. Karabekyan, M. Kumar, L.G. Maia, A. Parenti, A. Silenzi, H. Sotoudi Namin, J. Szuba, M. Teichmann, J. Tolkiehn, K. Weger, J. Wiggins, K. Wrona, M. Yakopov, C. Youngman [XFEL.EU, Hamburg, Germany] ","The Large Scale European XFEL Control System: Overview and Status of the Commissioning",5 8,
mob3o03,"V.H. Hardion, Y. Cerenius, F. H. Hennies, K. Larsson, J. Lidon-Simon (J. Lidón-Simon), M. Sjöström, D.P. Spruce [MAX-lab, Lund, Sweden] ","MAX IV Laboratory, Milestones and Lessons Learned",9 13,
mob3o04,"M. Iwasaki, A. Akiyama, K. Furukawa, H. Kaji, T. Naito, T.T. Nakamura, J.-I. Odagiri, S. Sasaki [KEK, Ibaraki, Japan] T. Aoyama, M. Fujita, T. Nakamura, K. Yoshii [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] K. Asano, M. Hirose [KIS, Ibaraki, Japan] Y. Iitsuka, N. Yoshifuji [EJIT, Hitachi, Ibaraki, Japan] ","The Construction Status of the SuperKEKB Control System",14 17,
moc3o01,"T. Birke, F. Falkenstern, R. Mueller (R. Müller), A. Schaelicke (A. Schälicke) [HZB, Berlin, Germany] ","Comprehensive Fill Pattern Control Engine: Key to Top-Up Operation Quality",18 21,
moc3o02,"E. Blanco Vinuela, B. Bradu, R. Marti Martinez [CERN, Geneva, Switzerland] R. Mazaeda, L. de Frutos, C. de Prada [University of Valladolid, Valladolid, Spain] ","PIDTUNE: A PID Autotuning Software Tool on UNICOS CPC",22 25,
moc3o03,"G. Gaio, M. Lonza [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Automatic FEL Optimization at FERMI",26 29,
moc3o04,"D.O. Tavares [LNLS, Campinas, Brazil] D.R. Grossi [Sao Paulo University, São Carlos Campus, São Carlos, Brazil] ","System Identification and Robust Control for the LNLS UVX Fast Orbit Feedback",30 33,
moc3o05,"Y. Tian, W.X. Cheng, L.R. Dalesio, J.H. De Long, K. Ha, L. Yu [BNL, Upton, Long Island, New York, USA] W.S. Levine [UMD, College Park, Maryland, USA] ","NSLS-II Fast Orbit Feedback System",34 37,
moc3o06,"S. Vermersch [CEA, LE BARP cedex, France] ","The Laser Megajoule Facility: The Computational System PARC",38 41,
moc3o07,"V. Ayvazyan, S. Ackermann, J. Branlard, B. Faatz, M.K. Grecki, O. Hensler, S. Pfeiffer, H. Schlarb, Ch. Schmidt, M. Scholz, S. Schreiber [DESY, Hamburg, Germany] A. Piotrowski [FastLogic Sp. z o.o., Lodz, Poland] ","Low Level RF Control Implementation and Simultaneous Operation of Two FEL Undulator Beamlines at FLASH",42 45,
mod3i01,"P. Chitnis [Stony Brook University, Stony Brook, New York, USA] K.A. Brown [BNL, Upton, Long Island, New York, USA] ","Bayesian Reliability Model for Beam Permit System of RHIC at BNL",46 50,
mod3o02,"G. Abeille (G. Abeillé), A. Buteau, X. Elattaoui, S. Le (S. Lê) [SOLEIL, Gif-sur-Yvette, France] G. Boissinot [ZENIKA, Paris, France] ","Continuous Delivery at SOLEIL",51 55,
mod3o03,"G.K. Brunton, G.A. Bowers, A.D. Conder, J.-M.G. Di Nicola, P. Di Nicola, M.A. Fedorov, B.T. Fishler, R. Fleming, D.H. Kalantar, G. Lau, D.G. Mathisen, V.J. Miller Kamm, V. Pacheu, M. Paul, R.K. Reed, J. Rouse, R.J. Sanchez, M.J. Shaw, E.A. Stout, S. Weaver, E.F. Wilson [LLNL, Livermore, California, USA] ","Shot Rate Improvement Strive for the National Ignition Facility (NIF)",56 59,
mod3o04,"G. Cuni (G. Cuní), F. Becheri, D. Fernandez-Carreiras (D. Fernández-Carreiras), Z. Reszela, S. Rubio-Manrique [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Introducing the SCRUM Framework as Part of the Product Development Strategy for the ALBA Control System",60 63,
mod3o05,"S. Karabekyan, J. Pflueger (J. Pflüger) [XFEL.EU, Hamburg, Germany] L. Lin, Y.T. Liu [USTC/NSRL, Hefei, Anhui, People's Republic of China] W. Wang [Hisense Co. Ltd., Qingdao, People's Republic of China] ","Use of Automation in Commissioning Process of the Undulators of the European X-Ray Free Electron Laser",64 67,
mod3o06,"P.S. Swart, G.M. le Roux [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] A. Marassi, R. Smareglia [INAF-OAT, Trieste, Italy] S. Roy Chaudhuri [Tata Research Development and Design Centre, Pune, India] S. Vrcic [NRC-Herzberg, Penticton, BC, Canada] ","Interface Management for SKA Telescope Manager",68 71,
mom302,"P. K. Kankiya, J.P. Jamilkowski [BNL, Upton, Long Island, New York, USA] ","Python Software for Measuring Wavelength at Optically Pumped Polarized Ion Source (OPPIS)",72 73,
mom305,"N. Hosoda, T. Fukui [RIKEN SPring-8 Center, Innovative Light Sources Division, Hyogo, Japan] M. Ishii [JASRI/SPring-8, Hyogo-ken, Japan] T. Ohshima, T. Sakurai, H. Takebe [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Control System for a Dedicated Accelerator for SACLA Wide-Band Beam Line",74 78,
mom306,"C. Kim, S.Y. Baek, H.-S. Kang, J.H. Kim, K.W. Kim, I.S. Ko, G. Mun, B.R. Park [PAL, Pohang, Kyungbuk, Republic of Korea] ","Status of the PAL-XFEL Control System",79 81,
mom308,"S. Karstensen, M.E. Castro Carballo, J.M. Jäger, M. Staack [DESY, Hamburg, Germany] ","XFEL Machine Protection System (MPS) Based on uTCA",82 85,
mom309,"Y. Morino, K. Agari, Y. Sato, A. Toyoda [KEK, Tokai, Ibaraki, Japan] ","Upgrade of the Beam Monitor System for Hadron Experimental Facility at J-PARC",86 89,
mom310,"P. Chitnis [Stony Brook University, Stony Brook, New York, USA] K.A. Brown [BNL, Upton, Long Island, New York, USA] ","Nonlinear System Identification of Superconducting Magnets of RHIC at BNL",90 93,
mom311,"R. Soto, N. Saez, T.C. Shen [ALMA Observatory, Santiago, Chile] J.P.A. Ibsen [ESO, Santiago, Chile] ","ALMA Release Management: A Practical Approach",94 97,
mopgf001,"S. An, K. Gu, X.J. Liu, J.Q. Wu, W. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","Use Interrupt Driven Mode to Redesign an IOC for Digital Power Supply at SSC-LINAC",98 99,
mopgf002,"S. Babel, B. Lam, K. Luchini, J.J. Olsen, T. Straumann, E. Williams, C. Yee [SLAC, Menlo Park, California, USA] ","Magnet Corrector Power Supply Controller for LCLS-I",100 102,
mopgf006,"L. Burdzanowski, C. Roderick [CERN, Geneva, Switzerland] ","The Renovation of the CERN Controls Configuration Service",103 106,
mopgf008,"Y.-S. Cheng, K.T. Hsu, C. H. Huang, D. Lee, C.Y. Liao [NSRRC, Hsinchu, Taiwan] ","Embedded Environment with EPICS Support for Control Applications",107 109,
mopgf014,"S. Condamoor, Y. Ding, P. Krejcik, H. Loos, T.J. Maxwell, J.J. Olsen [SLAC, Menlo Park, California, USA] ","LLRF Controls Upgrade for the LCLS XTCAV project at SLAC",110 113,
mopgf015,"J.M. D'Ewart, M.L. Campell, P. Krejcik, H. Loos, K. Luchini [SLAC, Menlo Park, California, USA] ","Fast Wire Scanner Upgrade for LCLS",114 116,
mopgf016,"D.R.S. Di Calafiori, G. Dissertori, L. Djambazov, O. Holme, W. Lustermann [ETH, Zurich, Switzerland] P. Adzic, P. Cirkovic, D. Jovanovic [VINCA, Belgrade, Serbia] S. Zelepoukine [UW-Madison/PD, Madison, Wisconsin, USA] ","Improving the Compact Muon Solenoid Electromagnetic Calorimeter Control and Safety Systems for the Large Hadron Collider Run 2",117 120,
mopgf019,"I.J. Gillingham, T. Friedrich, S.C. Lay, R. Mercado [DLS, Oxfordshire, United Kingdom] ","Experiences and Lessons Learned in Transitioning Beamline Front-Ends from VMEbus to Modular Distributed I/O",121 124,
mopgf020,"P. Golonka, R. Fantechi, M. Gonzalez-Berges, F. Varela [CERN, Geneva, Switzerland] V. Falaleev [JINR, Dubna, Moscow Region, Russia] N. Lurkin [Birmingham University, Birmingham, United Kingdom] R.F. Page [University of Bristol, Bristol, United Kingdom] ","Detector and Run Control Systems for the NA62 Fixed-Target Experiment at CERN",125 128,
mopgf021,"P. Golonka, M. Gonzalez-Berges, J. Hofer, A. Voitier [CERN, Geneva, Switzerland] ","Database Archiving System for Supervision Systems at CERN: a Successful Upgrade Story",129 132,
mopgf022,"R. Haseitl, H. Bräuning, T. Hoffmann, K. Lang, T. Milosic [GSI, Darmstadt, Germany] ","SIS18 Upgrade: The FAIR Compliant Renovation of the Data Acquisition System for Particle Detectors",133 136,
mopgf023,"Y. Iwasaki, T. Kaneyasu, S. Koda, Y. Takabayashi [SAGA, Tosu, Japan] ","Update of Power Supply Control System at the SAGA Light Source Storage Ring",137 139,
mopgf024,"S. Jackson, D. Alves, L. Di Giulio, K. Fuchsberger, B. Kolad, E. Pedersen [CERN, Geneva, Switzerland] ","Testing Framework for the LHC Beam-based Feedback System",140 144,
mopgf025,"R.J. Jiménez Estupiñán, A. Andronidis, O. Chaze, C. Deldicque, M. Dobson, A.D. Dupont, D. Gigi, F. Glege, J. Hegeman, M. Janulis, L. Masetti, F. Meijers, E. Meschi, S. Morovic, C. Nunez-Barranco-Fernandez, L. Orsini, A. Petrucci, A. Racz, P. Roberts, H. Sakulin, C. Schwick, B. Stieger, S. Zaza, P. Zejdl [CERN, Geneva, Switzerland] J.M. Andre, R.K. Mommsen, V. O'Dell, P. Zejdl [Fermilab, Batavia, Illinois, USA] U. Behrens [DESY, Hamburg, Germany] J. Branson, S. Cittolin, A. Holzner, M. Pieri [UCSD, La Jolla, California, USA] G.L. Darlea, G. Gomez-Ceballos, C. Paus, K. Sumorok, J. Veverka [MIT, Cambridge, Massachusetts, USA] S. Erhan [UCLA, Los Angeles, California, USA] O. Holme [ETH, Zurich, Switzerland] ","Enhancing the Detector Control System of the CMS Experiment with Object Oriented Modelling",145 148,
mopgf026,"H. Junkes, W. Schöllkopf, M. Wesemann [FHI, Berlin, Germany] ","Laser Beam Profiling and Further Improvements to the FHI FEL",149 152,
mopgf027,"D. Maier-Manojlovic [PSI, Villigen PSI, Switzerland] ","Real-Time EtherCAT Driver for EPICS and Embedded Linux at Paul Scherrer Institute (PSI)",153 156,
mopgf029,"C. Cyterski, E.P. Chin [SLAC, Menlo Park, California, USA] ","Personnel Protection System Upgrade for the LCLS Electron Beam Linac",157 159,
mopgf030,"K. Nakayoshi, Y. Fujii, K. Sakashita [KEK, Tsukuba, Japan] ","Upgrade of the Control and Interlock Systems for the Magnet Power Supplies in T2K Primary Beamline",160 162,
mopgf032,"S.C. Alverson, G.W. Brown, F.-J. Decker, S. Gilevich, S. Vetter [SLAC, Menlo Park, California, USA] ","Installation of a Hot-Swappable Spare Injector Laser System for the SLAC Linac Coherent Light Source",163 166,
mopgf033,"I. Saleh, Y.S. Dabain, A. Ismail [SESAME, Allan, Jordan] ","New Developments on EPICS Drivers, Clients and Tools at SESAME",167 169,
mopgf035,"M. Satoh, K. Furukawa, K. Mikawa, F. Miyahara, Y. Seimiya, T. Suwada [KEK, Ibaraki, Japan] K. Hisazumi, T. Ichikawa, T. Kudou, S. Kusano, Y. Mizukawa [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] H.S. Saotome, M. Takagi [Kanto Information Service (KIS), Accelerator Group, Ibaraki, Japan] ","Control System Status of SuperKEKB Injector Linac",170 172,
mopgf036,"D. Schirmer, A. Althaus, F.H. Bahnsen [DELTA, Dortmund, Germany] ","Control System Developments at the Electron Storage Ring DELTA",173 176,
mopgf037,"S. L. Hoobler, S.C. Alverson, C. Cyterski, R.C. Sass [SLAC, Menlo Park, California, USA] ","Upgrades to Control Room Knobs at Slac National Accelerator Laboratory",177 179,
mopgf038,"S. L. Hoobler, R.S. Larsen, H. Loos, J.J. Olsen, S.R. Smith, T. Straumann, C. Xu, A. Young [SLAC, Menlo Park, California, USA] ","Design and Commissioning Results of MicroTCA Stripline BPM System",180 183,
mopgf039,"F. Varela, Ph. Gayet, P. Golonka, M. Gonzalez-Berges, J. Pache, P. Sollander [CERN, Geneva, Switzerland] L. Goralczyk [AGH University of Science and Technology, Krakow, Poland] ","TIP: An Umbrella Application for all SCADA-Based Applications for the CERN Technical Infrastructure",184 187,
mopgf040,"K.T. Tsubota, J.A. Mader [W.M. Keck Observatory, Kamuela,, Hawaii, USA] ","Keck Telescope Control System Upgrade",188 192,
mopgf042,"J.A. Vasquez (J.A. Vásquez), D. Pedretti, R. Ponchia [INFN/LNL, Legnaro (PD), Italy] M.A. Bellato, R. Isocrate [INFN- Sez. di Padova, Padova, Italy] M. Bertocco [UNIPD, Padova (PD), Italy] ","EPICS IOC Based on Computer-On-Module for the LNL Laboratory",193 196,
mopgf045,"J. Calvo, D. Jimenez-Rey (D. Jiménez-Rey), E. Molina Marinas, J. Molla (J. Mollá), I. Podadera [CIEMAT, Madrid, Spain] ","MEBT and D-Plate Control System Status of the Linear IFMIF Prototype Accelerator",197 200,
mopgf047,"S.Z. Zhang, Y.-M. Abiven, F. Blache, D. Corruble, C.K. Kheffafa [SOLEIL, Gif-sur-Yvette, France] S.M. Minolli [NEXEYA SYSTEMS, LA COURONNE, France] ","Revolution Project: Progress in the Evolution of Soleil Motion Control Model",201 204,
mopgf048,"F.A. Akeroyd, K.V.L. Baker, M.J. Clarke, G.D. Howells, D.P. Keymer, K.J. Knowles, C. Moreton-Smith, D.E. Oram [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] M. Bell, I.A. Bush, R.F. Nelson, K. Ward, K. Woods [Tessella, Abingdon, United Kingdom] ","IBEX - the New EPICS Based Instrument Control System at the ISIS Pulsed Neutron and Muon Source",205 208,
mopgf049,"P.J. Bell, V.H. Hardion, V. Michel [MAX-lab, Lund, Sweden] ","100Hz Data Acquisition in the TANGO Control System at the Max IV Linac",209 211,
mopgf050,"P. Acs (P. Ács), S. Brockhauser, L.J. Fulop (L.J. Fülöp), V. Hanyecz, M. Kiss, Cs. Koncz, L. Schrettner [ELI-ALPS, Szeged, Hungary] ","Tango-Kepler Integration at ELI-ALPS",212 215,
mopgf051,"L.J. Fulop (L.J. Fülöp), S. Brockhauser, S. Farkas, V. Hanyecz, M. Kiss, M.T. Koncz, Á. Mohácsi, K. Nelissen, L. Schrettner, B. Szalai, P. Szasz (P. Szász), C. Turner [ELI-ALPS, Szeged, Hungary] ","ELI-ALPS Control System Status Report",216 220,
mopgf052,"L.G. Cardoso, F. Alessio, J. Barbosa, C. Gaspar, R. Schwemmer [CERN, Geneva, Switzerland] P-Y. Duval [CPPM, Marseille, France] ","A Framework for Hardware Integration in the LHCb Experiment Control System",221 224,
mopgf056,"N. De Maio, A.P. Bark, T.M. Cobb, J.A. Thompson [DLS, Oxfordshire, United Kingdom] ","Synchronising High-Speed Triggered Image and Meta Data Acquisition for Beamlines",225 228,
mopgf057,"M.P. Donadio, J.R. Piton, H.D. de Almeida [LNLS, Campinas, Brazil] ","Quick Experiment Automation Made Possible Using FPGA in LNLS",229 232,
mopgf058,"M. Drochner, L. Fleischhauer-Fuss, H. Kleines, M. Wagener, S. van Waasen [FZJ, Jülich, Germany] ","Neutron Scattering Instrument Control System Modernization - Front-End Hardware and Software Adaption Problems",233 235,
mopgf063,"H. Kleines, M. Bednarek, K. Bussmann, M. Drochner, L. Fleischhauer-Fuss, S. Janaschke, S. Keuler, K.-H. Mertens, S. Su, F. Suxdorf, S. van Waasen [FZJ, Jülich, Germany] ","The New TANGO-based Control and Data Acquisition of the Neutron Instrument DNS at FRM II",236 239,
mopgf065,"M. Lindberg, J. Forsberg, L. Kjellsson, A.M. Milan, C. Sathe (C. Såthe), P. Sjöblom, S. Urpelainen [MAX-lab, Lund, Sweden] ","Motion Control on the Max IV Soft X-Ray Beamlines With Tango and Sardana",240 243,
mopgf066,"P. K. Kankiya, J.P. Jamilkowski, T. Samms [BNL, Upton, Long Island, New York, USA] ","Synchronized Ramping of Magnet Power Supplies for Streamlined Operation at Energy Recovery Linac (ERL) and Electron Lens (e-Lens)",244 246,
mopgf067,"N. Marais [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","MeerKAT Control and Monitoring System Architecture",247 250,
mopgf070,"A.S. Palaha, C. Angelsen, Q. Gu, J. Marchal, U.K. Pedersen, N.P. Rees, N. Tartoni, H. Yousef [DLS, Oxfordshire, United Kingdom] M. Bayer, J. Correa, P. Gnadt, H. Graafsma, P. Göttlicher, S. Lange, A. Marras, S. Reza, I. Shevyakov, S. Smoljanin, L. Stebel, C. Wunderer, Q. Xia, M. Zimmer [DESY, Hamburg, Germany] G. Cautero, D. Giuressi, A. Khromova, R.H. Menk, G. Pinaroli [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] D. Das, N. Guerrini, B. Marsh, T.C. Nicholls, I. Sedgwick, R. Turchetta [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] H.J. Hyun, K.S. Kim, S.Y. Rah [PAL, Pohang, Republic of Korea] ","Report on Control/DAQ Software Design and Current State of Implementation for the Percival Detector",251 254,
mopgf071,"I.A. Price [Research School of Astronomy  Astrophysics, Australian National University, Weston Creek, Australia] R. Conan [GMTO Corporation, Pasadena, USA] ","Sodium Laser Guide Star Emulation",255 257,
mopgf072,"R.J. Slominski, T. L. Larrieu [JLab, Newport News, Virginia, USA] ","Hot Checkout for 12 GeV at Jefferson Lab",258 261,
mopgf077,"T. Birke, F. Falkenstern, R. Mueller (R. Müller), A. Schaelicke (A. Schälicke) [HZB, Berlin, Germany] ","Drift Control Engines Stabilize Top-Up Operation at BESSY II",262 265,
mopgf079,"W. Cichalewski, A. Napieralski [TUL-DMCS, Lodz, Poland] J. Branlard, Ch. Schmidt [DESY, Hamburg, Germany] ","European XFEL Cavities Piezoelectric Tuners Control Range Optimization",266 269,
mopgf080,"G.A. Fatkin, A.M. Batrakov, I.V. Ilyin, M.Yu. Vasilyev [BINP SB RAS, Novosibirsk, Russia] G.A. Fatkin [NSU, Novosibirsk, Russia] ","Control System of RF Stations for NICA Booster",270 273,
mopgf087,"P.C. Chiu, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C.Y. Liao [NSRRC, Hsinchu, Taiwan] ","TPS Booster Tune Measurement System",274 276,
mopgf088,"C. H. Huang, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, C.Y. Liao [NSRRC, Hsinchu, Taiwan] ","Integrating the Measuring System of Vibration and Beam Position Monitor to Study the Beam Stability",277 280,
mopgf090,"R. Murillo-Garcia, Q. King, M. Magrans de Abril [CERN, Geneva, Switzerland] ","Control of Fast-Pulsed Power Converters at CERN Using a Function Generator/Controller",281 285,
mopgf091,"D. Perrelet, Y. Brischetto, H. Damerau, A.V. Villanueva [CERN, Geneva, Switzerland] D. Oberson [HEIA-FR, Fribourg, Switzerland] M.V. Sundal [IST, Lisboa, Portugal] ","White-Rabbit Based Revolution Frequency Program for the Longitudinal Beam Control of the CERN PS",286 290,
mopgf092,"C.E. Peters, C. Dickerson, F. Garcia, M.A. Power [ANL, Argonne, Illinois, USA] ","Integration of the TRACK Beam Dynamics Model to Decrease LINAC Tuning Times",291 294,
mopgf093,"I. Rutkowski, M. Grzegrzólka [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] L. Butkowski (Ł. Butkowski), Ch. Schmidt [DESY, Hamburg, Germany] M. Kuntzsch [HZDR, Dresden, Germany] ","Real-time Beam Loading Compensation for Single SRF Cavity LLRF Regulation",295 297,
mopgf097,"M.G. Abbott, G. Rehm, I.S. Uzun [DLS, Oxfordshire, United Kingdom] ","Architecture of Transverse Multi-Bunch Feedback Processor at Diamond",298 301,
mopgf098,"I.S. Uzun, T.M. Cobb, A.M. Cousins, M.T. Heron [DLS, Oxfordshire, United Kingdom] Y.-M. Abiven, J. Bisou, P. Monteiro, G. Renaud [SOLEIL, Gif-sur-Yvette, France] ","PandA Motion Project - A Collaboration Between SOLEIL and Diamond to Upgrade Their 'Position and Acquisition' Processing Platform",302 305,
mopgf099,"G. Valentino, G. Baud, M. Gasior (M. Gąsior), S. Jackson, L.K. Jensen, J. Olexa, S. Redaelli, J. Wenninger [CERN, Geneva, Switzerland] ","Upgraded Control System for LHC Beam-Based Collimator Alignment",306 309,
mopgf101,"L. Froehlich (L. Fröhlich), B. Beutner, W. Decking, O. Hensler, R. Kammering, T. Limberg, S.M. Meykopff, J. Wilgen [DESY, Hamburg, Germany] ","High Level Controls for the European XFEL",310 313,
mopgf102,"S. Blanchard, F. Antoniotti, R. Ferreira, P. Gomes, A. Gutierrez, B. Jenninger, F. Mateo, H.F. Pereira [CERN, Geneva, Switzerland] L. Kopylov, S. Merker [IHEP, Moscow Region, Russia] ","The New Control Software for the CERN NA62 Beam Vacuum",314 317,
mopgf103,"F. Mateo, F. Antoniotti, S. Blanchard, R. Ferreira, P. Gomes, A. Gutierrez, B. Jenninger, H.F. Pereira [CERN, Geneva, Switzerland] ","The Upgrade of Control Hardware of the CERN NA62 Beam Vacuum",318 321,
mopgf104,"P. Gomes, F. Antoniotti, F. Aragon, F. Bellorini, S. Blanchard, J-P. Boivin, N. Chatzigeorgiou, F. Daligault, R. Ferreira, J. Fraga, J. Gama, A. Gutierrez, P. Krakowski, H.F. Pereira, G. Pigny, P.P. Prieto, B. Rio, H. Vestergard [CERN, Geneva, Switzerland] L. Kopylov, S. Merker, M.S. Mikheev [IHEP, Moscow Region, Russia] ","Consolidations on the Vacuum Controls of the CERN Accelerators, During the First Long Shutdown of the LHC",322 325,
mopgf105,"P.A. Maslov, M. Komel, M. Pavleski, K. Zagar (K. Žagar) [Cosylab, Ljubljana, Slovenia] ","Device Control Database Tool (DCDB)",326 329,
mopgf110,"A. Orlati, M. Bartolini, S. Righini [INAF - IRA, Bologna, Italy] M. Buttu, A. Fara, C. Migoni, S. Poppi [INAF - OAC, Selargius (CA), Italy] ","Design Strategies in the Development of the Italian Single-dish Control System",330 333,
mopgf111,"A. Panov, A.A. Korepanov [BINP SB RAS, Novosibirsk, Russia] ","TANGO Integration of a Specific Hardware through HTTP-server",334 337,
mopgf112,"G. Pigny, F. Antoniotti, J-P. Boivin, N. Chatzigeorgiou, J. Gama, P. Gomes, P. Krakowski, H.F. Pereira [CERN, Geneva, Switzerland] ","Measurements, Alarms and Interlocks in the Vacuum Control System of the LHC",338 341,
mopgf113,"L. Pivetta, F. Giacuzzo, G. Scalamera, D. Vittor [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Controls and Interlocks for the New Elettra Super Conducting Wiggler",342 345,
mopgf114,"J.J. Pon, K. Ezawa, R. Keitel, R.B. Nussbaumer, J.E. Richards, M. Rowe, P.J. Yogendran [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Controls Interface into the Low-Level RF System in the ARIEL e-Linac at TRIUMF",346 348,
