CT01,"M. Gasior Geneva, Switzerland","An Inductive Pick-Up for Beam Position and Current Measurements",,"pick-up, instrumentation, CLIC"
CT02,"L. Groening, W. Barth Gesellschaft für Schwerionenforschung, Darmstadt, Germany; D.A. Liakin Institute for Theoretical and Experimental Physics, Moscow, Russia","Single Shot Measurements of the 4-Dimensional Transverse Phase Space Distribution of Intense Ion Beams at the UNILAC at GSI",,"diagnostics, instrumentation, linac, ion, transverse-dynamics"
CT03,"G. Mazzitelli, F. Sannibale, P. Valente, M. Vescovi Laboratori Nazionali di Frascati dell'INFN, Frascati, Italy; P. Privitera, V. Verzi Istituto Nazionale di Fisica Nucleare, Sez. di Roma, Roma, Italy","Beam Instrumentation for the Single Electron DA$Phi $NE Beam Test Facility",,"diagnostics, instrumentation, linac, controls, electron, positrons"
CT04,"D. Nölle, P. Göttlicher, R. Neumann, D. Pugachov, K. Wittenburg, M. Wendt, M. Werner, H. Schlarb, M. Staack Deutsches Elektronen-Synchrotron, Hamburg, Germany; M. Desmons, A. Hamdi, M. Jablonka, M. Loung Commissariat à l'Energie Atomique, Saclay, France","The Beam Inhibit System for TTF II",,"diagnostics, instrumentation, linac, electron, free-electron-laser"
CT05,"P. Michel, J. Teichert, R. Schurig, H. Langenhagen Forschungszentrum Rossendorf, Dresden, Germany","Beam Loss Detection at Radiation Source ELBE",,"diagnostics, instrumentation, linac, electron, radiation, beam-losses, beam-transport"
CT06,"M. Werner Deutsches Elektronen-Synchrotron, Hamburg, Germany","Timing Sicknesses in Control Systems: Causes, Cure and Prevention",,"instrumentation"
CT07,"G.A. Naylor European Synchrotron Radiation Facility, Grenoble, France","Fast DSP Using FPGAs and DSOs for Machine Diagnostics",,"diagnostics, injection, ESRF, digital-signal-processing"
CT08,"M. Dehler, R. Kramert, P. Pollet, D. Bulfone, M. Lonza Paul Scherrer Institut, Villigen, Switzerland","Capabilities of the ELETTRA/SLS Multibunch Feedback Electronics",,"diagnostics, instrumentation, feedback, transverse-dynamics"
CT09,"L. Badano, O. Ferrando, M. Pezzetta Fondazione TERA, Università delgi Studi Milano, Milano, Italy; G. Molinari Geneva, Switzerland","SLIM (SEM for Low Interception Monitoring) - An Innovative Non-Destructive Beam Monitor for the Extraction Lines of a Hadrontherapy Centre",,"medical accelerators, hadron, diagnostics, instrumentation, monitoring, electrostatic devices"
CT10,"S. Brandenburg, W.K. van Asselt, H. Post, H.W. Schreuder Kernfysisch Versneller Instituut, Groningen, The Netherlands; B. Launé Institut de Physique Nucléaire, Orsay, France","Beam Diagnostics in the AGOR Cyclotron",,"diagnostics, instrumentation, cyclotron, ion"
CT11,"M. Wendt, S. Schreiber, A. Gössel Deutsches Elektronen-Synchrotron, Hamburg, Germany; M. Hüning Fermi National Accelerator Laboratory, Batavia, IL, USA; G. Devanz, M. Jablonka, C. Magne, O. Napoly Commissariat à l'Energie Atomique, Saclay, France; N. Baboi Stanford Linear Accelerator, Stanford, CA, USA","Beam Based HOM Analysis of Acceleating Structures at the TESLA Test Facility LINAC",,"diagnostics, instrumentation, linac, higher-order-mode, wakefield"
DW01,"K. Wittenburg Deutsches Elektronen-Synchrotron, Hamburg, Germany; K. Scheidt European Synchrotron Radiation Facility, Grenoble, France","Machine Protection And Interlock Systems",,"diagnostics, instrumentation, controls, man-machine-interface, operational performance"
DW02,"U. Raich, H. Schmickler Geneva, Switzerland","Global Accelerator Network, Control Systems And Beam Diagnostics",,"diagnostics, instrumentation, controls, man-machine-interface, operational performance"
DW03,"A. Peters Gesellschaft für Schwerionenforschung, Darmstadt, Germany; M. Ferianis Sincrotrone Trieste, Trieste, Italy","Beam Synchronous Timing Systems",,"diagnostics, instrumentation, controls, fibre-optics"
IT01,"W.F. Henning Gesellschaft für Schwerionenforschung, Darmstadt, Germany","The Future of Nuclear Physics in Europe and the Demands on Accelerators techniques",,"antiproton, diagnostics, heavy ion, synchrotron, superconductivity"
IT02,"J.-C. Denard, L. Cassinari Societé Synchrotron Soleil, Saint-Aubin, France; M. Dykes, R. Smith Daresbury Laboratory, Daresbury, UK","Overview of the Diagnostics Systems of SOLEIL and DIAMOND",,"diagnostics, instrumentation, sychrotron radiation, pick-up, feedback, SOLEIL, DIAMOND"
IT03,"R. Jung, G. Ferioli, S. Hutchins Geneva, Switzerland","Single Pass Optical Profile Monitoring",,"instrumentation, emittance, optics"
IT04,"J. Wenninger Geneva, Switzerland","Challenges for LHC and Demands on Beam Instrumentation",,"LHC, instrumentation, collimation, luminosity, superconducting-magnet"
IT05,"G. Berden, G.M.H. Knippels, D. Oepts, A.F.G. van der Meer Institute for Plasma Physics 'Rijnhuizen', Nieuwegein, The Netherlands; S.P. Jamison, X. Yan, A.M. MacLeod, W.A. Gillespie University of Abertay Dundee, Dundee, UK; J.L. Shen Capital Normal University, Beijing, China; I. Wilke Rensselaer Polytechnic Institute, Troy, NY, USA","Single Shot Electron-Beam Bunch Length Measurements",,"diagnostics, instrumentation, monitoring, electro-magnetic fields, electron, wakefield"
IT06,"P. Krejcik Stanford Linear Accelerator, Stanford, CA, USA","Short Bunch Beam Profiling",,"diagnostics, instrumentation, linac, free electron laser, photon, optics, SPPS, LCLS"
IT07,"M.E. Angoletta Geneva, Switzerland","Digital Signal Processing in Beam Instrumentation: Latest Trends and Typical Applications",,"diagnostics, instrumentation, controls, betatron, closed-orbit, feedback"
IT08,"M.A. Plum Los Alamos National Laboratory, Los Alamos, NM, USA; T.J. Shea, S. Assadi Oak Ridge National Laboratory, Oak Ridge, TN, USA; L. Doolittle Lawrence Berkeley National Laboratory, Berkeley, CA, USA; P. Cameron, R. Connolly Brookhaven National Laboratory, Upton, NY, USA","Diagnostic Challenges at SNS",,"diagnostics, H-minus, instrumentation, SNS, superconducting-RF"
IT09,"G. Kube Deutsches Elektronen-Synchrotron, Hamburg, Germany; H. Backe, W. Lauth, H. Schöpe Institut für Kernphysik, Mainz, Germany","Smith-Purcell Radiation in View of Particle Beam Diagnostics",,"diagnostics, instrumentation, radiation, monitoring"
IT10,"J.-P. Koutchouk Geneva, Switzerland","Advanced Diagnostics of Lattice Parameters in Hadron Colliders",,"beam-losses, collider, diagnostics, instrumentation, lattice"
PM01,"R.B. Fiorito, A.G. Shkvarunets Institute for Research in Electronics and Applied Physics, University of Maryland, College Park, MD, USA","Use of Optical Transition Radiation Interferometry for Energy Spread And Divergence Measurements",,"optical diagnostics, transition radiation, electron beams, energy spread, divergence, emittance"
PM03,"E. Bravin, T. Lefèvre Geneva, Switzerland","Studies of OTR Angular Distribution on CTF2",,"CLIC, diagnostics, instrumentation, optics, transverse-dynamics"
PM04,"C. Bal, E. Bravin, E. Chevallay, T. Lefèvre, G. Suberlucq Geneva, Switzerland","OTR from Non-Relativistic Electrons",,"CLIC, diagnostics, instrumentation, optics, transverse-dynamics"
PM05,"J. Bähr, D. Lipka, H. Lüdecke Deutsches Elektronen-Synchrotron, Zeuthen, Germany","Optical Transmission Line For Streak Camera Measurements at Pitz",,"diagnostics, electron, gun, longitudinal-dynamics, optics, PITZ"
PM06,"O. Berrig Geneva, Switzerland","An Improved PLL for Tune Measurements",,"diagnostics, controls, instrumentation, synchrotron, transverse-dynamics"
PM07,"M. Ludwig, M.E. Angoletta Geneva, Switzerland","Real time management of the AD Schottky/BTF beam measurement system",,"AD, antiproton, decelerator, real time management, schottky, BTF, LIMS, low intensity beam multi diagnostic"
PM08,"N. Catalan-Lasheras, S. Fartoukh, R. Jones Geneva, Switzerland","Recent Advances in the Measurement of Chromaticity Via Head-Tail Phase Shift Analysis",,"diagnostics, instrumentation, chromatic effects, SPS, LHC"
PM09,"G. Tranquille Geneva, Switzerland","Diagnostics for Electron Cooled Beams",,"LEIR, AD, beam cooling, diagnostics, laser, recombination"
PM10,"M. Ferianis, S. Bassanese, G. D'Auria Sincrotrone Trieste, Trieste, Italy; C. Deibele Spalation Neutron Source, Oak Ridge, TN, USA; M. Poggi Laboratori Nazionali di Legnaro, Legnaro, Italy","Characterisation of Fast Faraday Cups at the ELETTRA Linac",,"diagnostics, electron, ELETTRA, instrumentation, linac"
PM11,"C. Fischer, G. Ferioli, J. Koopman, F. Roncarolo Geneva, Switzerland","Beam Studies Made With The SPS Ionization Profile Monitor",,"diagnostics, emittance, instrumentation, monitoring, SPS"
PM12,"F. Caspers, B. Dehning, E. Jensen, J. Koopman, J.F. Malo, F. Roncarolo Geneva, Switzerland","Cavity Mode Related Wire Breaking of the SPS Wire Scanners And Loss Measurements of Wire Materials",,"diagnostics, instrumentation, wire scanner, radio-frequency"
PM13,"S. Burger, C. Carli, K. Priestnall, U. Raich Geneva, Switzerland","The PS Booster Fast Wire Scanner",,"emittance, heavy ion, instrumentation"
PM14,"K. Scheidt European Synchrotron Radiation Facility, Grenoble, France","Upgrade Of The ESRF Fluorescent Screen Monitors",,"instrumentation, emittance, linac, luminosity"
PM15,"S.G. Arutunian, K.H. Bakshetyan, N.M. Dobrovolski, M.R. Mailian, H.E. Soghoyan, I.E. Vasiniuk Yerevan Physics Institute, Armenia; K. Wittenburg Deutsches Elektronen-Synchrotron, Hamburg, Germany","First Experimental Results And Improvements On Profile Measurements With The Vibrating Wire Scanner",,"halo, tail, wire scanner, diagnostics, instrumentation"
PM16,"A.B. El-Sisi Atomic Energy Authority, NRC, Plasma and Nuclear Fusion Dept., Cairo, Egypt","Wire Scanner Beam Profile Measurement For ESRF",,"wire scanner, beam profile, transfer line, emittance, ESRF"
PM17,"T. Giacomini, P. Forck Gesellschaft für Schwerionenforschung, Darmstadt, Germany; V. Skachkov, A. Gobulev, D.A. Liakin Institute for Theoretical and Experimental Physics, Moscow, Russia; A. Vetrov Moscow State University, MSU, Moscow, Russia","Development of a Permanent Magnet Residual Gas Profile Monitor With Fast Readout",,"diagnostics, heavy ion, instrumentation, storage-ring, synchrotron"
PM18,"A. Bank, P. Forck Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Residual Gas Fluorescence for Profile Measurements at the GSI UNILAC",,"diagnostics, instrumentation, photon, linac, optics"
PM19,"V. Kamerdzhiev, J. Dietrich Forschungszentrum Jülich, Germany","Ionisation Beam Profile Monitor at the Cooler Synchrotron COSY-Jülich",,"diagnostics, instrumentation, storage-ring, ion, synchrotron"
PM21,"L. Cosentino, P. Finocchiaro Laboratori Nazionali del Sud, Catania, Italy","Recent Developments Of The EXCYT Radioactive Beam Diagnostics",,"diagnostics, ion, ion-source, isotope-production, monitoring"
PM23,"W. Blokland, T.J. Shea Oak Ridge National Laboratory, Oak Ridge, TN, USA; M. Stettler Los Alamos National Laboratory, Los Alamos, NM, USA","Networked Attached Devices at SNS",,"diagnostics, instrumentation, controls"
PM24,"M. Seebach, M. Werner Deutsches Elektronen-Synchrotron, Hamburg, Germany; H. Franz, A. Ehnes Deutsches Elektronen-Synchrotron, Hamburg, Germany","Parasitic Bunch Measurement in e+/e- Storage Rings",,"diagnostics, instrumentation, bunching, synchrotron-radiation, photon, lepton, undulator"
PM25,"R. Dölling Paul Scherrer Institut, Villigen, Switzerland","Diagnostics of the PROSCAN beam lines",,"beam profile, proton beam, ionisation chamber, halo, PROSCAN"
PM26,"A. Gall FEI STU Bratislava, Slovakia; G.G. Gulbekian, B.N. Gikal, I.V. Kalagin, V.I. Kazacha FLNR JINR Dubna, Russia","A System For Beam Diagnostics in the External Beam Transportation Lines of the DC-72 Cyclotron",,"diagnostics, instrumentation, cyclotron, medical accelerators, emittance, pick-up, DC-72"
PM27,"S. Barabin, V. Batalin, A. Kozlov, T. Kulevoy, R. Kuybida, D.A. Liakin, A. Orlov, V. Pershin, S. Petrenko, D. Selezniov, Yu. Stasevich Institute for Theoretical and Experimental Physics, Moscow, Russia","Multifunction Test-Bench For Heavy Ion Sources",,"diagnostics, instrumentation, heavy ion, emittance"
PM28,"W. Barth, L. Dahl, J. Glatz, L. Groening, S. Richter, S. Yaramishev Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Application of Beam Diagnostics for Intense Heavy Ion Beams at the GSI UNILAC",,"heavy ion, linac, space charge, longitudinal-dynamics"
PM29,"D.A. Liakin Institute for Theoretical and Experimental Physics, Moscow, Russia; T. Hoffmann, P. Forck Gesellschaft für Schwerionenforschung, Darmstadt, Germany","A Modular VME Data Acquisition System for Counter Applications at the GSI Synchrotron",,"controls, monitoring"
PT01,"G.A. Naylor, E. Plouviez, G.F. Penacoba European Synchrotron Radiation Facility, Grenoble, France","Beam Position And Phase Measurements Using A FPGA For The Processing Of The Pick-Ups Signals",,"diagnostics, storage-ring, pick-up"
PT02,"V. Sargsyan Technische Universität, Berlin, Germany","Pill-Box Cavity BPM For TESLA Cryomodul",,"diagnostics, linac, monitoring, position, resonance, single bunch"
PT04,"S. Bremec, R. Urunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {sglobal mathchardef accent@spacefactor spacefactor }accent 20 segroup spacefactor accent@spacefactor iunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor , U. Mavriunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor  Instrumentation Technologies, Solkan, Slovenia","Advantages Of Implementing Digital Receivers In Field Programmable Gate Arrays (FPGA)",,"controls, diagnostics, industrial-accelerators, instrumentation, operational-performance"
PT05,"U. Mavriunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor , S. Bremec, R. Urunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {sglobal mathchardef accent@spacefactor spacefactor }accent 20 segroup spacefactor accent@spacefactor iunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor  Instrumentation Technologies, Solkan, Slovenia","Experience With Sampling Of 500 MHz Rf Signal For Digital Receiver Applications",,"controls, diagnostics, industrial-accelerators, instrumentation, operational-performance"
PT06,"T. Straumann Stanford Linear Accelerator, Stanford, CA, USA","Dynamic X-Y Crosstalk / Aliasing Errors of Multiplexing BPMs",,"instrumentation, diagnostics, pick-up, monitoring, operational-performance, controls, feedback"
PT07,"A. Liapine Technische Universität, Berlin, Germany","Cavity Beam Position Monitor For The TESLA Energy Spectrometer",,"diagnostics, electro-magnetic fields, linear-collider, monitoring, radio-frequency, TESLA"
PT08,"E. Calvo-Giraldo, C. Boccard, D. Cocq, L. Jensen, R. Jones, J.J. Savioz Geneva, Switzerland; D. Bishop, G. Waters Vancouver, Canada","The LHC Orbit and Trajectory System",,"diagnostics, closed-orbit, controls, instrumentation, LHC"
PT09,"H. Waldmann, H.J. Schreiber Deutsches Elektronen-Synchrotron, Zeuthen, Germany","Cavity-Type BPMs For The TESLA Test Facility Free Electron Laser",,"diagnostics, instrumentation, free-electron-laser, radio-frequency, undulator, TTF"
PT12,"S. Brandenburg, H.W. Nijboer, W.K. van Asselt Kernfysisch Versneller Instituut, Groningen, The Netherlands","Beam Phase Measurements in the AGOR Cyclotron",,"diagnostics, instrumentation, cyclotron, ion, longitudinal-dynamics"
PT13,"R. Johnson, Z. Li, St. Smith, V. Smith Stanford Linear Accelerator, Stanford, CA, USA; T. Naito High Energy Accelerator Research Organization, Ibaraki, Japan; J. Rifkin Lyncean Technologies, Inc., Palo Alto, CA, USA","An X-Band Cavity for a High Precision Beam Position Monitor",,"beam position, pick-up, diagnostics, instrumentation, NLC"
PT14,"S.J. Park, J.H. Park, Y.S. Bae, W.H. Hwang, J.Y. Huang, S.H. Nam Pohang Accelerator Laboratory, Pohang, Korea; Y.S. Cho, J.M. Han, S.H. Han, B.H. Choi Proton Engineering Frontier Project, Korea","Design of BPM PU for Low-Beta Proton Beam Using Magic Code",,"proton linac, pick-up, BPM, MAGIC code, simulation, sensitivity"
PT15,"P. Evtushenko, R. Schurig Forschungszentrum Rossendorf, Dresden, Germany","Performance of the ELBE BPM Electronics",,"diagnostics, instrumentation, linac, monitoring, pick-up, ELBE"
PT16,"Ph. Guimbal, P. Balleyguier, D. Deslandes Commissariat à l'Energie Atomique, Bruyères-le-Châtel, France; H. Borrion Electrical and Electronic Engineering Dept., University College, London, UK","A High Dynamic Range Beam Position Measurement System for ELSA-2",,"electron, linac, diagnostics, instrumentation"
PT17,"J. Schölles, W. Kaufmann Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Impedance-Matching-Transformer for Capacitive Pick-Ups",,"BPM, diagnostics, longitudinal transfer function, impedance matching transformer, capacitive pick-up, SIS, single bunch"
PT18,"A. Ferrari, A. Rydberg Uppsala University, Sweden; F. Caspers, R. Corsini, L. Rinolfi, F. Tecker Geneva, Switzerland; P. Royer Université de Lausanne, Switzerland","Development of a bunch frequency monitor for the preliminary phase of the CLIC Test Facility CTF3",,"bunch frequency multiplication, beam harmonics measurements"
PT19,"V. Kamerdzhiev, J. Dietrich, I. Mohos Forschungszentrum Jülich GmbH, Jülich, Germany","Transverse Feedback System For The Cooler Synchrotron COSY-Jülich - First Results",,"storage-ring, synchrotron, beam cooling, beam-losses, coherent-effects, damping, feedback, kicker, pick-up"
PT20,"P. Odier Geneva, Switzerland","A New Wide Band Wall Current Monitor",,"diagnostics, instrumentation, electron, CTF3"
PT21,"M. Dehler Paul Scherrer Institut, Villigen, Switzerland","Microwave measurement of intra bunch charge distributions",,"diagnostics, instrumentation, single bunch"
PT22,"J. Bähr, I. Bohnet, J.H. Han, M. Krasilnikov, D. Lipka, V. Miltchev, A. Oppelt, F. Stephan Deutsches Elektronen-Synchrotron, Zeuthen, Germany; K. Flöttmann Deutsches Elektronen-Synchrotron, Hamburg, Germany","Measurement of the longitudinal phase space at the Photo Injector Test Facility at DESY Zeuthen",,"diagnostics, electron, longitudinal-dynamics"
PT23,"V. Miltchev, K. Abrahamyan, J. Bähr, I. Bohnet, M. Krasilnikov, D. Lipka, A. Oppelt, F. Stephan Deutsches Elektronen-Synchrotron, Zeuthen, Germany; K. Flöttmann Deutsches Elektronen-Synchrotron, Hamburg, Germany; I. Tsakov Institute for Nuclear Reseach and Nuclear Energy of the Bulgarian Academy of Science, Sofia, Bulgaria","Transverse Emittance Measurements at the Photo Injector Test Facility at DESY Zeuthen (PITZ)",,"diagnostics, emittance, free-electron-laser, linac, transverse-dynamics, PITZ"
PT24,"D. Sütterlin, V. Schlott, H. Sigg Paul Scherrer Institut, Villigen, Switzerland; H. Jackel Institute of Electronics, Zürich, Switzerland","Development of a Bunch-Length Monitor with Sub-Picosecond Time Resolution and Single-Shot Capability",,"diagnostics, instrumentation, linac, electron, bunching, SLS"
PT25,"M. Ferianis, S. Bassanese, F. Iazzourene Sincrotrone Trieste, Trieste, Italy","Fast Tune Measurement System for the ELETTRA Booster",,"booster, diagnostics, electron, instrumentation, storage-ring"
PT26,"K. Knaack, M. Wendt, K. Wittenburg Deutsches Elektronen-Synchrotron, Hamburg, Germany; R. Neubert, S. Nietzsche, W. Vodel Friedrich-Schiller Universität, Jena, Germany; A. Peters Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Cryogenic Current Comparator for Absolute Measurement of the Dark Current of the Superconducting Cavities for Tesla",,"cryogenics, diagnostics, monitoring, pick-up, shielding, superconductivity, TESLA"
PT27,"H. Jakob, L. Jensen, R. Jones, J.J. Savioz Geneva, Switzerland","A 40 MHz Bunch by Bunch Intensity Measurement for the CERN SPS and LHC",,"diagnostics, instrumentation, SPS, LHC"
PT28,"A. Paal, A. Simonsson, A. Källberg Manne Siegbahn Laboratory of Physics, Stockholm, Sweden; J. Dietrich, I. Mohos Forschungszentrum Jülich GmbH, Jülich, Germany","Current Measurements of Low-Intensity Beams at CRYRING",,"storage-ring, diagnostics, pick-up"
PT29,"J.H. Han, I. Bohnet, M. Krasilnikov, F. Stephan Deutsches Elektronen-Synchrotron, Zeuthen, Germany; K. Flöttmann Deutsches Elektronen-Synchrotron, Hamburg, Germany","Dark Current Measurements at the PITZ Rf Gun",,"PITZ, gun, cathode, secondary-beams, simulation"
PT30,"E. Gschwendtner, R. Assmann, B. Dehning, G. Ferioli, V. Kain Geneva, Switzerland","Ionisation Chambers for the LHC Beam Loss Detection",,"beam-losses, instrumentation, radiation"
PT31,"M. Körfer Deutsches Elektronen-Synchrotron, Hamburg, Germany; H. Henschel, J. Kuhnhenn Fraunhofer-INT, Euskirchen, Germany; F. Wulf Hahn-Meitner Institut, Berlin, Germany","Optical Fibre Dosimeter for SASE FEL Undulators",,"beam-losses, diagnostics, free-electron-laser, instrumentation, optics"
PT32,"E. Badura, B. Franczak, W. Kaufmann, P. Horn, H. Reeg, H. Reich-Sprenger, P. Schütt, P. Spiller, K. Welzel, U. Weinrich Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Beam Loss Diagnostics Based on Pressure Measurements",,"beam-losses, beam diagnostics, heavy ion beam, instrumentation, synchrotron"
PT34,"G. Di Pirro, A. Drago, F. Sannibale Laboratori Nazionali di Frascati dell'INFN, Frascati, Italy","DA$Phi $NE Beam Loss Monitor System",,"diagnostics, background"
