FR101,"Simon Yu (LBNL)","Overview of International Heavy Ion Fusion Experiments",,"heavy-ion, space-charge-dominated-beams, experiments"
FR102,"H. Haseroth (CERN)","Neutrino Factory / Cooling Experiment",,"linac, neutral-beams, factory, recirculation, beam-cooling"
FR103,"Tsutomu Nakanishi (Nagoya Univ.)","Polarized Electron Sources  Using NEA-GaAs Photocathode",,"electron, gun, cathode, laser, emittance"
FR104,"L. Serafini (INFN-Milan and Univ. of Milan)","Prospective of Coherent X-Ray Source in Italy",,"free-electron-laser, brightness, emittance, linac, collective-effects"
FR201,"A. Mosnier (CEA-Saclay)","Survey of High-Power Proton Linacs",,"proton, linac"
FR202,"G. W. Foster, J. A. MacLachlon (FNAL)","An Multi-Mission 8 GeV Injector Linac As A Fermilab Booster Replacement",,"electron, h-minus, linac, superconducting-rf"
MO101,"Marion M. White (ORNL)","The Spallation Neutron Source (SNS)",,"SNS, superconducting-rf, SNS, h-minus linac"
MO201,"John N. Galayda (SLAC)","The Linac Coherent Light Source Project",,"free-electron-laser, synchrotron-radiation, brightness, brilliance, undulator"
MO202,"M. Borland (ANL)","Coherent Synchrotron Radiation and Microbunching in Bunch Compressors",,"collective-effects, bunching/chopping, free-electron-laser"
MO203,"Yu-Jiuan Chen, L. R. Bertolini, G. J. Caporaso, F. W. Chambers, E. G. Cook, S. Falabella, F. J. Goldin, G. Guethlein, D. D.-M. Ho, J. F. McCarrick, S. D. Nelson, R. Neurath, A. C. Paul, P. A. Pincosy, B. R. Poole, R. A. Richardson, S. Sampayan, L.-F. Wang, J. A. Watson, G. A. Westenskow, J. T. Weir (LLNL)","Downstream System for The Second Axis of The DARHT Facility",,"beam-transport, linac, electron, induction, plasma, kicker, focusing"
MO204,"R. Connolly, P. Cameron, J. Cupolo, C. Dawson, C. Degen, A. Della Penna, D. Gassner, M. Grau, M. Kesselman, S. Peng, R. Sikora (BNL)","Laser Beam-Profile Monitor Development at BNL for SNS",,"diagnostics, emittance, h-minus, instrumentation, laser"
MO301,"B. H. Choi, P. K. Joo, K. R. Kim, J. Y. Kim, J. H. Lee, J. M. Han, Y. S. Cho, H. J. Kwon (KAERI)","High Power Proton Linac Program in Korea",,"proton, ion-source, radio-frequency-quadrupole, rf-structure, beam-transport"
MO302,"J. A. Nolen (ANL)","The U. S. Rare Isotope Accelerator Project",,"radioactive-beam, superconducting-linac, heavy-ion, nuclear-physics"
MO401,"E. Jensen (CERN)","CTF3 Drive Beam Accelerating Structures",,"acceleration, radio-frequency, linac, rf-structure, higher-order-mode"
MO402,"Kaizhi Zhang, Long Wen, Hong Li, Jin Li, Zhiyong Dai, Wenwei Zhang, Yutong Xie, Meng Wang, Huacen Wang, Guangsen Dai, Linwen Zhang, Jianjun Deng, Bonan Ding (CAEP)","3.5 MeV Injector for An Induction Linac",,"LIA, injector, diode, radial-insulator, accelerating-cavity"
MO403,"J. J. Deng, B. N. Ding, L. W. Zhang, H. C. Wang, G. S. Dai, N. A. Chen, Z. Y. Dai, K. Z. Zhang, J. S. Shi, W. W. Zhang, J. Li, X. P. Liu, Y. T. Xie, M. Wang, L. Wen, H. Li, J. S. Wang, Z. C. Xie, M. H. Wang (CAEP)","Design of The Dragon-I Linear Induction Accelerator",,"electron, induction, linac, pulsed-power, beam-transport"
MO404,"H. Matsumoto, S. Takeda (KEK), T. Shintake, H. Baba, T. Inagaki, Y. J. Kim, K. Togawa, H. Kitamura (RIKEN)","The C-Band (5712-MHz) Linac for The Spring-8 Compact SASE Source (SCSS)",,"linac, free-electron-laser, linear-collider, electron, rf-structure"
MO405,"Shu-Hong Wang, Jiu-Qing Wang, Qiang Ye, and Qi Le (IHEP)","Minimization of Primary Electron Beam Radius on The Positron Production Target",,"positron-production, electron-beam-radius"
MO406,"G. Pei (IHEP)","Overview of BEPCII Linac Design",,"positron-source, electron-linac, BEPCII-injector"
MO408,"S. S. Park, S. C. Kim, S. H. Kim, Y. J. Han, S. H. Nam (PAL), S. W. Park, K. T. Lee (Dong-A Tech)","Operational Characteristics and Availability of Klystron-Modulator System for PLS 2-GeV Electron Linac",,"klystron, modulator, thyratron, system-availability"
MO409,"S. C. Kim, S. S. Park, S. H. Kim, Y. J. Han, and S. H. Nam (PAL)","A New Modulator Controller of The PLS Linac",,"klystron-modulator, modulator-control"
MO410,"H. S. Kang, Y. J. Han, J. Y. Huang, S. H. Nam (PAL), W. Namkung (POSTECH)","Current Status and R&D Plan of PAL Test Linac",,"electron, gun, linac, bunching"
MO411,"N. Y. Vinogradov, P. Billquist, P. N. Ostroumov, R. C. Pardo, M. Portillo, S. I. Sharamentov, G. P. Zinkann (ANL)","Bunch Shape Measurement of CW Heavy-Ion Beam",,"heavy-ion, monitoring, collimation"
MO412,"P. N. Ostroumov (ANL)","Design Features of High-Intensity Medium-Energy Superconducting Heavy-Ion Linac",,"beam-dynamics, superconductivity,ion, lattice"
MO413,"Y. Y. Lee, M. Blaskiewicz, A. Fedotov, D. Raparia, J. Beebe-Wang, W. T. Weng and J. Wei (BNL)","Linac Energy Manipulation for Longitudinal Phase Space Painting for SNS Ring",,"beam-losses, energy-calibration, optical-matching, storage-ring"
MO414,"D. D. Bhawalkar, A. G. Bhujle, P. Fatnani, P. R. Hannurkar, S. C. Joshi, M. G. Karmarkar, S. Kotaiah, S. Krishnagopal, S. P. Mhaskar, S. A. Pande, S. S. Prabhu, S. K. Shukla, G. Singh (CAT)","Indian Programe to Develop High Current Proton Linac for ADSS",,"proton, linac, injector, synchrotron,"
MO415,"F. Gerigk, M. Vretenar (CERN)","Design of A 120 MeV H- Linac for CERN High-Intensity Applications",,"h-minus, linac, rf-structure, simulation, transverse-dynamics"
MO416,"F. Caspers, K. Hanke, A. Lombardi, A. Millich, A. Mostacci, M. Paoluzzi, M. Vretenar (CERN)","Design of A Chopper Line for The CERN SPL",,"bunching/chopping, h-minus, linac, space-charge, diagnostics"
MO417,"S. Wang, S. Fu (IHEP), T. Kato (KEK)","Design Study of A MEBT With An Anti-Chopper for The JKJ",,"linac, proton, lattice"
MO420,"H. Ao (JAERI), N. Hayashizaki (TITech), V. Paramonov (INR)","R&D Status of The Annular Coupled Structure Linac for The JAERI/KEK Joint Project",,"proton, linac, rf-structure, coupling"
MO421,"R. W. Garnett, F. L. Krawczyk, R. L. Wood, and D. L. Schrage (LANL)","RF-Focused Spoke Resonator",,"acceleration, rf-structure, superconducting-rf"
MO422,"Dong-o Jeon, S. Assadi (ORNL), J. Stovall (LANL)","A Technique to Transversely Match High Intensity Linac Using Only RMS Beam Size from Wire-Scanners",,"transverse-match, wire-scanners, space-charge, high-intensity-linac"
MO423,"M. Okamura, T. Takeuchi, T. Katayama, R. A. Jameson (RIKEN), T. Hattori, H. Kashiwagi (TITech)","Direct Injection Scheme for RFQ Linac",,"plasma, space-charge, radio-frequency-quadrupole, laser, injection"
MO427,"L. Rinolfi (CERN), T. Kamitani (KEK)","The CLIC Positron Production Scheme",,"beam-dynamics, positron, target"
MO428,"F. Le Pimpec, S. Adiga, F. Asiri, G. Bowden, D. Dell'Orco, E. Doyle, B. McKee, A. Seryi (SLAC)","Vibrational Stability of NLC Linac and Final Focus Components",,"vibration, cooling-water, NLC, rf-structure"
MO429,"Yujong Kim, T. Shintake, H. Kitamura (RIKEN/SPring-8), H. Matsumoto (KEK)","Bunch Compressor for SPring-8 Compact SASE Source",,"bunch-compressor, SASE-FEL, coherent-synchrotron-radiation, microbunching, SCSS"
MO430,"Yujong Kim, T. Shintake, K. Togawa, H. Kitamura (RIKEN), H. Matsumoto (KEK), K. Swada (SHI), K. Floettmann (DESY)","Injector Layout Optimization for The Phase-I Stage of The SPring-8 Compact SASE Source (SCSS) Project",,"space-charge, injector-system, SASE-FEL, SCSS, ASTRA, PARMELA"
MO432,"A. K. Mitra, P. J. Bricault, I. V. Bylinskii, K. Fong, G. Dutto, R. E. Laxdal, and R. L. Poirier (TRIUMF)","RF Test and Commissioning of The Radio Frequency Structures of The TRIUMF ISAC I Facility",,"rf-structure, radio-frequncy-quadrupole, DTL, cw-mode, linac"
MO433,"K. Hanke, A. Lombardi (CERN)","Design of A High-Intensity RFQ for A Possible LHC Laser Ion Source",,"radio-frequency-quadrupole, longitudinal-dynamics, space-charge, heavy-ion"
MO434,"R. Corsini, D. Schulte (CERN)","Beam Transverse Stability in The CLIC Combiner Rings",,"rf-structure, wakefield, lattice, linear-collider, transverse-dynamics"
MO435,"A. Novikov-Borodin (INR)","Nanosecond Microstructure Creation of The Low Energy Negative Ion Beam",,"bunching/chopping, space-charge"
MO436,"J. Gao (LAL)","Theoretical Analysis on The Halo Formation of The Proton Beam from LEDA",,"accelerator-theory, linac, proton, space-charge, non-linear-dynamics"
MO437,"Dong-o Jeon, A. Aleksandrov, J. Wei (ORNL), J. Stovall, L. Young, H. Takeda, S. Nath (LANL), R. Keller, J. Staples (LBNL)","SNS Linac Halo Mitigation",,"space-charge, collimation, linac, halo, non-linear-dynamics"
MO438,"Chun-Xi Wang (ANL), Kwang-Je Kim (ANL and Univ. of Chicago)","Linear Theory of Ionization Cooling and Emittance Exchange",,"beam-cooling, damping, linear-dynamics, emittance"
MO439,"V. M. Pavlov (BINP)","Operation Features of VEPP-5 Preinjector RF-Buncher with",,"rf-buncher, preinjector, long-beam"
MO440,"S. Nath, J. Billen, J. Stovall, H. Takeda, L. Young (LANL), D. Jeon, S. H. Kim (ORNL), K. Crandall (TechSource)","Beam Behavior Through The SNS Chopper System",,"bunching/chopping, beam-transport, simulation, linac"
MO441,"X. Wu, D. Gorelov, T. Grimm, W. Hartung, F. Marti, and R. C. York (NSCL/MSU)","The Misalignment and RF Error Analysis for The RIA Driver Linac",,"RIA, linac, misalignment, rf-jitter, beam-dynamics"
MO442,"W. Beinhauer, H. -D. Graef, A. Richter (IKP, TU-Darmstadt), M. Krassilnikov, T. Weiland (TEMF, TU-Darmstadt)","Beam Dynamics On-Line Simulations for The S-DALINAC Injector",,"injection, linac, simulation"
MO443,"M. Krassilnikov, T. Weiland (TEMF, TU-Darmstadt)","New Approach to Space Charge Calculation in Ensemble Model",,"simulation, space-charge"
MO445,"X. J. Wang, M. Babzien, R. Malone, Z. Wu (BNL)","Mg Cathode and Its Thermal Emittance",,"emittance, gun, electron, brightness, cathode"
MO447,"J. Alessi, B. Briscoe, O. Gould, A. Kponou, V. LoDestro, D. Raparia, J. Ritter, A. N. Zelenski (BNL), V. Klenov, S. A. Kokhanovski, V. Zoubets (INR), M. Okamura (RIKEN)","Performance of A High Intensity Polarized H- Source on The Brookhaven 200 MeV Linac",,"ion-source, polarization, operational-performance, h-minus, beam-transport"
MO448,"C. E. Hill, D. Kuechler, H. Kugler, R. Scrivens (CERN)","Options for Upgrading The Intensity of The CERN Lead Pre-Injector Ion Source",,"brightness, extraction, ion-source, linac"
MO449,"V. Variale, V. Valentino (INFN-Bari), A. Boggia, G. Brautti, T. Clauser, A. Raino (Univ. di Bari), Y. Boimelshtein, P. Logatchov, B. Skarbo, M. Tiunov (BINP)","The Charge State Breeder BRIC: Status Report",,"ion-source, radio-frequency-quadrupole"
MO450,"Shinian Fu, Huafu Ouyang, Zhihua Luo, Jiming Qiao, Wenwu Xu, Taoguang Xu, Zhonghua Zhang, Jian Li, Shouxian Fang (IHEP), Xialing Guan (CIAE), Zhiyu Guo, Jiaxun Fang (IHIP)","R&D Status of A 3.5 MeV RFQ Accelerator for ADS Study in China",,"proton, radio-frequency-quadrupole, space-charge"
MO451,"Y. L. Chi, D. Dong, L. Shen, G. Y. Li, Q. M. Dai, S. M. Tian, X. W. Yang, Y. W. Chen and G. X. Pei (IHEP)","Klystron and Modulator Upgrade for BEPCII Linac",,"klystron, modulator"
MO452,"R. Chehab, S. Burdin, R. Cizeron, C. Sylvia (LAL), V. Baier, K. Beloborodov, A. Bukin, T. Dimova, A. Drozdetsky, V. Druzhinin, V. Golubev,S. Serednyakov,V. Shary,V. Strakhovenko (BINP), X. Artru, M. Chevallier, D. Dauvergne, R. Kirsch, P. Lautesse, J-C. Poizat, J. Remillieux (IPNL), A. Jejcic (LMD), M. Dubrovin (WSU-Cornell), P. Keppler, J. Major (MPI-Stuttgart), L. Gatignon (CERN), G. Bochek, V. Kulibaba, N. Maslov (KIPT), A. Bogdanov, A. Potylitsin, I. Vnukov (NPI-TPU)","Experimental Determination of The Positron Source Emittance for A Crystal Target",,"electron, emittance, linear-collider, target"
MO453,"A. E. Vlieks, G. Caryotakis, R. Loewen, D. Martin, A. Menegat (SLAC), E. Landahl, C. DeStefano, B. Pelletier, and N. C. Luhmann Jr. (U. C. Davis)","Development of An X-Band Photoinjector at SLAC",,"injection, gun-emittance, operational-performance"
MO454,"H. Iijima, K. Dobashi (NIRS), M. Uesaka, T. Ueda, K. Yoshii, Y. Muroya, A. Fukasawa (Tokyo Univ.), N. Kumagai (SPring-8), J. Urakawa (KEK)","Mg Cathode S-Band RF Gun/Linac for Radiation Chemistry Research",,"rf-injector, cathode, laser"
MO455,"T. Miyata, M. Yamamoto, K. Jincho, N. Sasaki, T. Miyoshi, S. Ishikawa, C. Kobayashi (AEC), H. Honma, Y. Sato (NIRS)","Emittance Measurement for The Heavy-Ion Sources at HIMAC",,"beam-transport, emittance, ion-source"
MO458,"M. Plum, W. Christensen, R. Meyer, C. Rose (LANL)","SNS Linac Wire Scanner System: Signal Levels and Accuracy",,"diagnostics, linac"
MO459,"C. Nantista (SLAC), J. S. Kim (FARTECH), A. W. Weidemann (USC)","A Quadrupole Mode Resonant Cavity for Non-Disruptive, Single-Shot Emittance Measurement",,"emittance, radio-frequency, diagnostics"
MO460,"K. Ishiwata, I. Sato, K. Hayakawa, T. Tanaka, Y. Hayakawa, K. Yokoyama, T. Sakai, K. Kanno, K. Nakao, E. Hashimoto, T. Murakami, and K. Fujioka (LEBRA), T. Suwada (KEK)","Development of Strip-Line Type Beam Position Monitor",,"beam-position-monitor, strip-line-type, free-electron-laser"
MO461,"U. Kale, P. Nerpapgar, K. K. Pant, S. Krishnagopal (CAT), R. K. Gupta (Oxford Instruments)","Development of A Pulsed Modulator for An S-Band Klystron",,"pulsed-power, klystron, radio-frequency"
MO462,"S. Michizono, S. Anami, M. Kawamura, S. Yamaguchi  (KEK), T. Kobayashi (JAERI)","Digital RF Control System for 400-MeV Proton Linac of JAERI/KEK Joint Project",,"radio-frequency, controls, proton, linac"
MO463,"T. Kobayashi, E. Chishiro (JAERI), S. Anami, S. Yamaguchi, S. Michizono (KEK)","RF Reference Distribution System for The 400-MeV Proton Linac of The KEK/JAERI Joint Project",,"proton-linac, rf-reference, optical-fiber, phase-stability, timing-jitter"
MO465,"Michael Lynch, Daniel Rees, Paul Tallerico, William Reass (LANL), Ray Fuja (ORNL)","The SNS Linac RF System, System Status and Vendor Results",,"radio-frequency, pulsed-power, klystron, linac, power-supply"
MO466,"M. V. Fazio, B. E. Carlsten, and L. M. Earley (LANL), J. Potter (JP Accelerator Works)","High-Power, Millimeter-Wave Source Development at Los Alamos National Laboratory",,"radio-frequency, electron-beam, mm-wave, microfabricate, slow-wave-structure,"
MO467,"S. J. Park, S. H. Kim, Y. J. Park, S. D. Jang, Y. G. Son, J. S. Oh, K. R. Kim, S. H. Nam (PAL), W. Namkung (POSTECH)","Fabrication and Test of Pulsed 200-MW Electron Gun for High-Power Klystrons",,"electron-gun, klystron, beam-tests"
MO468,"Y. G. Son, S. D. Jang, J. S. Oh (PAL), M. H. Cho, W. Namkung (POSTECH)","A Study of High-Power Switch With Thyrister For Pulse Power Applications",,"high-voltage, semiconductor-switch"
MO470,"M. Akemoto (KEK), K. Aoki, K. Yokoyama (SHI), N. Shimizu (NGK Insulators)","Development of A Solid-State Switch for Klystron Pulse Modulators",,"linac, power-supply, pulsed-power"
MO471,"J. S. Oh, S. D. Jang, Y. G. Son (PAL), M. H. Cho, W. Namkung (POSTECH), S. C. Ro (Dong-A Hitech)","Development and Application of An Inverter Charging Supply to A Pulse Modulator",,"smart-modulator, linear-collider, inverter-charging-supply"
MO472,"S. G. Tantawi , C. D. Nantista (SLAC)","Multi-Moded RF Components and Their Application to High Power RF Pulse Compression Systems",,"pulsed-power, radio-frequency, linear-collider"
MO473,"Sai Dong, Guirong Huang, Dachun Jia, Yuanji Pei, Congfeng Wu, Kai Jin (NSRL)","RF Drive System with High Power Solid-State Amplifier for 200 MeV LINAC",,"rf-drive-system, solid-state-amplifier, power-combining-method, klystron"
MO474,"O. N. Brezhnev, P. V. Logatchev, V. M. Pavlov, O. V. Pirogov, S. V. Shiyankov (BINP), Ju. D. Chernousov, V. I. Ivannikov, I. V. Shebolaev (ICKC)","Parallel-Coupled Accelerating Structures",,"accelerating-structure, sw-regime, permanent-magnets"
MO475,"S. C. Joshi (CAT), V. Paramonov, A. Skassyrskaya (INR), N. Hayashizaki (TITech), M. Ikegami (KEK), Y. Yamazaki (JAERI)","The Complete 3-D Coupled RF-Thermal-Structural -RF Analysis Procedure for A Normal Conducting Accelerating Structure for High Intensity Hadron Linac",,"rf-structure, linac, pulsed-power"
MO476,"Lutz Lilje (DESY)","High Gradient Multicell Superconducting Cavities",,"superconducting-rf, acceleration, rf-structure, linear-collider"
MO477,"S. Minaev, D. Kashinskiy, V. Pershin, B. Sharkov, T. Tretiakova, R. Vengrov, S. Yaramyshev (ITEP)","A Spatially Periodic RFQ Accelerating Structure Based on E010 Mode Cavity",,"ion, linac, quadrupole focusing, simulation"
MO478,"D. A. Swenson (LINAC Systems)","An RF Focused Interdigital Linac Structure",,"linac, rf-structure, radio-frequency-quadrupole, acceleration, focusing"
MO479,"T. Tajima, R. L. Edwards, R. C. Gentzlinger, F. L. Krawczyk, J. E. Ledford, D. I. Montoya, R. J. Roybal, D. L. Schrage, A. H. Shapiro (LANL), D. Barni, A. Bissotti, C. Pagani (INFN-Milano), G. Corniani (ZANON)","Test Results of The LANL 350 MHz, Beta=0.175, 2-Gap Spoke Resonator",,"superconducting-rf, spoke-cavity, spoke-resonator, AAA, superconducting-cavity"
MO480,"Stan O. Schriber (LANL)","Recognizing, Analyzing and Interpreting Mode Information in Standing-Wave Cavities",,"rf-structure, superconducting-rf"
MO481,"N. Hayashizaki (TITech), H. Ao, K. Hasegawa, Y. Yamazaki (JAERI), M. Ikegami, T. Kato (KEK), V. Paramonov (INR)","Structure Design of The Annular Coupled Structure Linac for The JAERI/KEK Joint Project",,"proton, linac, rf-structure"
MO482,"H. H. Braun, S. Doebert, I. Syratcher, M. Taborelli, I. Wilson, W. Wuensch (CERN)","CLIC High-Gradient Test Results",,"radio-frequency, rf-structure, linear-collider, accelerator"
MO483,"S. A. Pande, Moonooku Prasad, Nita Kulkarni, P. R. Hannurkar (CAT)","Design Studies of A 100 MeV H+/H- Linear Accelerator As Injector for ADS Linac / SNS Synchrotron",,"beam-transport, radio-frequency-quadrupole, DTL, CCDTL, SDTL, linac"
MO484,"S. A. Pande, M. Prasad (CAT)","Design of 4.5 MeV RFQ for Protons / H- Ions",,"radio-frequency-quadrupole, proton, h-minus, beam-dynamics"
MO486,"F. Le Pimpec, S. Harvey, R.E. Kirby, F. Marcelja (SLAC)","Autopsy on An RF-Processed X-Band Travelling Wave Structure",,"NLC, rf-structure, breakdown"
TH101,"R. F. Welton (ORNL)","Overview of High-Brightness H- Ion Sources",,"ion-source, gun, emittance, brightness, proton-and-negative-ions"
TH102,"F. Naito (KEK), JAERI/KEK Joint Project Team","The JAERI/KEK Joint Project and Its Performance",,"h-minus, linac, synchrotron"
